GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
56,42,7:30 PM,Anaheim Ducks,2,0,6,4,39,11,6,W 6,39,8,1,3,1,22,10,0,2,0,18506,2:36,
60,55,7:00 PM,Edmonton Oilers,2,0,2,1,41,12,7,W 2,25,0,0,2,0,31,4,0,0,0,18506,2:19,
63,61,7:00 PM,New Jersey Devils,2,0,1,0,43,13,7,W 2,24,13,1,5,0,15,15,0,4,0,18506,2:27,
64,63,7:30 PM,Philadelphia Flyers,2,1,2,1,44,13,7,W 3,24,14,1,4,0,31,10,0,6,0,18506,2:33,
65,65,7:30 PM,Dallas Stars,0,0,2,4,44,14,7,L 1,44,4,0,4,0,22,8,0,2,0,18506,2:31,
69,73,7:00 PM,Minnesota Wild,2,0,4,2,45,17,7,W 1,40,29,1,5,0,32,15,1,7,0,18506,2:35,
70,75,7:00 PM,Nashville Predators,1,1,1,2,45,17,8,L 1,23,9,0,1,0,24,9,0,1,0,18506,2:24,
72,80,7:00 PM,Calgary Flames,2,0,4,2,47,17,8,W 2,40,4,2,3,0,31,8,0,1,0,18506,2:24,
73,82,7:00 PM,Columbus Blue Jackets,2,2,2,1,48,17,8,W 3,45,6,0,3,0,30,8,0,2,0,18506,2:44,
74,84,7:00 PM,Arizona Coyotes,2,0,4,1,49,17,8,W 4,33,10,1,4,0,29,10,0,4,0,18506,2:22,
80,95,8:00 PM,New York Rangers,2,0,2,0,54,18,8,W 3,25,4,1,3,0,24,6,0,0,0,18506,2:24,
82,99,7:00 PM,Florida Panthers,0,0,0,2,55,19,8,L 1,38,4,0,2,0,21,6,1,1,1,18506,1:53,
