GP,DOY,Time,Opponent,,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
34,362,9:00 PM,Calgary Flames,,0,0,3,6,12,21,1,L 1,28,16,0,6,0,31,12,1,3,0,14634,2:25,
36,366,8:00 PM,New York Rangers,,0,0,2,6,12,23,1,L 3,27,10,0,3,0,37,6,2,5,0,17609,2:41,
39,6,9:00 PM,New York Islanders,,2,1,2,1,13,25,1,W 1,39,10,1,4,0,36,10,1,4,0,14788,2:47,
40,12,9:00 PM,Anaheim Ducks,,0,0,1,4,13,26,1,L 1,34,7,0,3,0,32,11,0,1,0,14589,2:28,
41,14,3:00 PM,Nashville Predators,,0,0,2,3,13,27,1,L 2,30,26,0,3,0,32,13,0,4,0,16096,2:32,
42,17,9:00 PM,Chicago Blackhawks,,0,0,4,6,13,28,1,L 3,23,4,1,2,0,27,6,0,1,0,18007,2:26,
45,23,9:00 PM,San Jose Sharks,,0,0,2,5,13,30,2,L 6,28,6,1,3,0,26,6,0,4,0,13803,2:27,
46,25,9:30 PM,Vancouver Canucks,,0,0,2,3,13,31,2,L 7,32,4,0,2,0,41,4,1,2,0,12819,2:30,
49,35,3:00 PM,Winnipeg Jets,,2,0,5,2,14,33,2,W 1,28,15,1,2,0,25,21,1,4,0,13930,2:35,
50,38,9:00 PM,Montreal Canadiens,,2,0,4,0,15,33,2,W 2,26,12,1,2,0,27,6,0,5,0,12667,2:25,
51,40,9:00 PM,Pittsburgh Penguins,,0,0,1,4,15,34,2,L 1,28,6,1,3,0,30,8,1,3,0,16777,2:24,
57,50,8:00 PM,Tampa Bay Lightning,,1,1,2,3,16,38,3,L 1,29,4,0,4,0,40,8,0,2,0,17270,2:48,
58,52,9:00 PM,Los Angeles Kings,,0,0,1,2,16,39,3,L 2,25,2,0,3,0,32,6,0,1,0,13768,2:14,
60,56,10:00 PM,Buffalo Sabres,,2,0,5,3,17,40,3,W 1,30,10,0,2,0,37,6,1,4,0,15362,2:25,
64,64,8:00 PM,St. Louis Blues,,0,0,0,3,17,44,3,L 4,27,6,0,1,0,25,2,2,4,0,14477,2:21,
65,66,9:00 PM,Carolina Hurricanes,,2,0,3,1,18,44,3,W 1,25,4,1,1,0,26,2,0,2,0,11700,2:16,
66,68,9:00 PM,New Jersey Devils,,2,0,3,2,19,44,3,W 2,22,2,0,3,0,27,4,0,1,0,11886,2:28,
67,70,7:00 PM,Ottawa Senators,,0,0,2,4,19,45,3,L 1,16,13,1,5,0,31,15,1,4,0,15317,2:27,
69,74,9:30 PM,Detroit Red Wings,,2,0,3,1,20,46,3,W 1,29,2,0,4,0,28,6,0,1,0,16764,2:27,
72,80,9:00 PM,St. Louis Blues,,0,0,2,4,20,49,3,L 3,28,6,0,3,0,29,4,0,3,0,11687,2:24,
73,82,9:00 PM,Edmonton Oilers,,0,0,4,7,20,50,3,L 4,21,4,0,3,0,30,6,0,2,0,14142,2:24,
76,88,10:00 PM,Washington Capitals,,0,0,3,5,20,53,3,L 7,35,6,0,3,0,35,6,2,3,0,13820,2:23,
77,90,9:00 PM,St. Louis Blues,,2,2,2,1,21,53,3,W 1,32,6,1,2,0,28,4,0,3,0,14763,2:31,
79,94,9:00 PM,Chicago Blackhawks,,2,1,4,3,22,54,3,W 1,51,6,0,4,2,27,8,1,3,0,16203,2:33,
80,96,9:00 PM,Minnesota Wild,,0,0,3,4,22,55,3,L 1,33,9,0,4,0,28,13,0,2,0,15565,2:33,
