GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
58,49,7:00 PM,Edmonton Oilers,0,0,1,3,35,18,5,L 1,39,19,0,3,0,22,11,1,2,0,22075,2:23,
61,54,8:30 PM,Arizona Coyotes,2,0,6,3,38,18,5,W 3,29,8,0,2,0,37,4,0,4,0,21781,2:31,
62,57,7:30 PM,St. Louis Blues,2,0,4,2,39,18,5,W 4,42,4,1,2,0,32,4,1,2,0,21961,2:19,
63,60,8:00 PM,Pittsburgh Penguins,2,0,4,1,40,18,5,W 5,29,0,0,1,0,37,2,0,0,0,22012,2:22,
64,62,8:30 PM,New York Islanders,2,2,2,1,41,18,5,W 6,31,6,0,2,0,32,4,0,3,0,21883,2:32,
66,68,8:30 PM,Anaheim Ducks,0,0,0,1,42,19,5,L 1,43,11,0,2,0,26,21,0,2,0,21838,2:38,
68,71,12:30 PM,Minnesota Wild,2,0,4,2,43,20,5,W 1,22,2,0,3,0,44,6,0,1,0,22147,2:27,
72,78,7:00 PM,Colorado Avalanche,2,0,6,3,47,20,5,W 5,34,0,0,1,0,25,2,0,0,0,22070,2:29,
73,80,8:30 PM,Vancouver Canucks,1,1,4,5,47,20,6,L 1,44,4,2,6,0,15,10,1,2,0,21607,2:42,
74,82,8:30 PM,Dallas Stars,2,2,3,2,48,20,6,W 1,26,11,1,4,0,44,13,0,3,0,21798,2:40,
78,90,8:30 PM,Columbus Blue Jackets,2,0,3,1,50,21,7,W 2,24,10,1,3,0,33,8,0,4,0,22112,2:21,
79,92,12:30 PM,Boston Bruins,0,0,2,3,50,22,7,L 1,43,2,0,3,0,29,6,1,1,0,22131,2:36,
