GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
16,2013-11-06,8:00 PM,,Winnipeg Jets,4,1,W,,10,2,4,W 1,,28,4,0,0,,25,4,0,0,
17,2013-11-09,8:00 PM,@,Dallas Stars,5,2,W,,11,2,4,W 2,,31,12,1,1,,33,4,0,0,
18,2013-11-10,7:30 PM,,Edmonton Oilers,5,4,W,,12,2,4,W 3,,36,4,1,0,,23,10,2,1,
19,2013-11-14,8:00 PM,,Phoenix Coyotes,5,4,W,SO,13,2,4,W 4,,52,8,1,0,,30,8,1,0,
20,2013-11-16,8:00 PM,@,Nashville Predators,2,7,L,,13,3,4,L 1,,41,15,0,0,,30,13,2,0,
21,2013-11-17,7:00 PM,,San Jose Sharks,5,1,W,,14,3,4,W 1,,27,2,0,0,,24,2,0,0,
22,2013-11-19,9:00 PM,@,Colorado Avalanche,1,5,L,,14,4,4,L 1,,37,2,0,0,,23,2,0,0,
23,2013-11-21,8:00 PM,@,Winnipeg Jets,6,3,W,,15,4,4,W 1,,33,10,1,0,,25,8,2,0,
24,2013-11-23,10:00 PM,@,Vancouver Canucks,2,1,W,,16,4,4,W 2,,29,6,0,0,,37,4,1,0,
25,2013-11-25,9:30 PM,@,Edmonton Oilers,5,1,W,,17,4,4,W 3,,27,6,1,1,,25,8,0,0,
26,2013-11-27,10:00 PM,@,Calgary Flames,3,2,W,,18,4,4,W 4,,30,7,0,0,,22,9,0,0,
27,2013-11-29,8:30 PM,@,Dallas Stars,2,1,W,SO,19,4,4,W 5,,26,4,0,0,,29,4,0,0,
28,2013-11-30,8:00 PM,@,Phoenix Coyotes,5,2,W,,20,4,4,W 6,,36,12,1,0,,34,8,1,0,
29,2013-12-03,8:00 PM,,Dallas Stars,3,4,L,,20,5,4,L 1,,50,9,1,0,,18,15,1,0,
30,2013-12-05,8:00 PM,@,Minnesota Wild,3,4,L,,20,6,4,L 2,,19,6,1,0,,23,4,2,0,
31,2013-12-06,8:00 PM,,Anaheim Ducks,2,3,L,SO,20,6,5,L 3,,25,2,1,0,,26,16,1,0,
32,2013-12-08,7:00 PM,,Florida Panthers,6,2,W,,21,6,5,W 1,,32,17,3,0,,35,15,0,0,
33,2013-12-10,8:30 PM,@,Dallas Stars,6,2,W,,22,6,5,W 2,,33,22,1,0,,29,24,0,0,
34,2013-12-11,8:00 PM,,Philadelphia Flyers,7,2,W,,23,6,5,W 3,,23,35,2,1,,30,39,2,0,
35,2013-12-14,7:00 PM,@,Toronto Maple Leafs,3,7,L,,23,7,5,L 1,,28,8,1,0,,32,4,2,0,
36,2013-12-15,7:00 PM,,Los Angeles Kings,3,1,W,,24,7,5,W 1,,40,6,1,1,,22,6,0,0,
37,2013-12-17,8:00 PM,@,Nashville Predators,3,1,W,,25,7,5,W 2,,27,14,2,0,,28,6,1,0,
38,2013-12-20,8:00 PM,,Vancouver Canucks,2,3,L,SO,25,7,6,L 1,,26,6,0,0,,24,8,0,0,
39,2013-12-23,8:00 PM,,New Jersey Devils,5,2,W,,26,7,6,W 1,,37,2,1,0,,12,8,0,0,
40,2013-12-27,8:00 PM,,Colorado Avalanche,7,2,W,,27,7,6,W 2,,37,4,1,0,,18,4,0,0,
41,2013-12-28,8:00 PM,@,St. Louis Blues,5,6,L,SO,27,7,7,L 1,,32,8,1,0,,25,2,1,0,
42,2013-12-30,8:00 PM,,Los Angeles Kings,1,0,W,,28,7,7,W 1,,30,2,0,0,,26,6,0,0,
43,2014-01-02,7:00 PM,@,New York Islanders,2,3,L,OT,28,7,8,L 1,,39,4,1,0,,34,2,0,0,
44,2014-01-03,7:00 PM,@,New Jersey Devils,5,3,W,,29,7,8,W 1,,24,8,0,0,,27,4,1,0,
45,2014-01-05,8:00 PM,,San Jose Sharks,2,3,L,SO,29,7,9,L 1,,35,2,0,0,,42,0,0,0,
46,2014-01-08,8:00 PM,,New York Rangers,2,3,L,,29,8,9,L 2,,37,4,1,0,,32,6,1,0,
47,2014-01-11,7:00 PM,@,Montreal Canadiens,1,2,L,OT,29,8,10,L 3,,20,11,0,0,,38,7,0,0,
48,2014-01-12,7:00 PM,,Edmonton Oilers,5,3,W,,30,8,10,W 1,,41,2,1,0,,21,10,0,1,
49,2014-01-14,8:00 PM,,Colorado Avalanche,2,3,L,OT,30,8,11,L 1,,48,8,0,0,,26,10,2,0,
50,2014-01-17,8:00 PM,,Anaheim Ducks,4,2,W,,31,8,11,W 1,,35,4,0,1,,21,10,0,0,
51,2014-01-19,12:30 PM,,Boston Bruins,3,2,W,SO,32,8,11,W 2,,37,16,0,0,,36,4,0,0,
52,2014-01-22,8:00 PM,@,Detroit Red Wings,4,5,L,SO,32,8,12,L 1,,35,8,1,0,,31,8,0,0,
53,2014-01-23,8:00 PM,@,Minnesota Wild,1,2,L,,32,9,12,L 2,,34,8,0,0,,19,2,0,0,
54,2014-01-26,7:00 PM,,Winnipeg Jets,1,3,L,,32,10,12,L 3,,35,2,0,0,,21,8,0,0,
55,2014-01-28,9:30 PM,@,Calgary Flames,4,5,L,OT,32,10,13,L 4,,33,4,0,1,,29,2,0,1,
56,2014-01-29,10:30 PM,@,Vancouver Canucks,5,2,W,,33,10,13,W 1,,40,8,2,0,,31,18,0,0,
57,2014-02-01,10:30 PM,@,San Jose Sharks,1,2,L,SO,33,10,14,L 1,,30,6,1,0,,39,8,0,1,
58,2014-02-03,10:30 PM,@,Los Angeles Kings,5,3,W,,34,10,14,W 1,,30,10,1,0,,34,10,1,0,
59,2014-02-05,10:00 PM,@,Anaheim Ducks,2,0,W,,35,10,14,W 2,,25,10,0,0,,29,4,0,0,
60,2014-02-07,9:00 PM,@,Phoenix Coyotes,0,2,L,,35,11,14,L 1,,30,12,0,0,,26,6,2,0,
61,2014-02-27,7:00 PM,@,New York Rangers,1,2,L,,35,12,14,L 2,,32,2,0,0,,24,6,0,0,
62,2014-03-01,8:00 PM,,Pittsburgh Penguins,5,1,W,,36,12,14,W 1,,40,12,0,0,,32,8,0,0,NHL Stadium Series
63,2014-03-04,8:00 PM,,Colorado Avalanche,2,4,L,,36,13,14,L 1,,38,4,1,0,,21,8,1,0,
64,2014-03-06,8:00 PM,,Columbus Blue Jackets,6,1,W,,37,13,14,W 1,,33,8,1,0,,23,8,0,0,
65,2014-03-09,7:30 PM,@,Buffalo Sabres,2,1,W,,38,13,14,W 2,,31,10,0,0,,21,10,0,0,
66,2014-03-12,9:30 PM,@,Colorado Avalanche,2,3,L,,38,14,14,L 1,,39,13,0,0,,29,11,1,0,
67,2014-03-14,8:00 PM,,Nashville Predators,2,3,L,,38,15,14,L 2,,33,6,0,0,,29,4,1,0,
68,2014-03-16,7:30 PM,,Detroit Red Wings,4,1,W,,39,15,14,W 1,,30,10,1,1,,20,8,1,0,
69,2014-03-18,7:30 PM,@,Philadelphia Flyers,2,3,L,OT,39,15,15,L 1,,25,20,0,0,,37,18,0,0,
70,2014-03-19,8:00 PM,,St. Louis Blues,4,0,W,,40,15,15,W 1,,30,6,2,0,,23,6,0,0,
71,2014-03-21,8:00 PM,,Carolina Hurricanes,3,2,W,,41,15,15,W 2,,25,12,0,1,,28,10,1,0,
72,2014-03-23,7:00 PM,,Nashville Predators,0,2,L,,41,16,15,L 1,,29,13,0,0,,17,15,0,0,
73,2014-03-25,8:00 PM,,Dallas Stars,4,2,W,,42,16,15,W 1,,42,9,1,0,,27,11,0,0,
74,2014-03-27,7:00 PM,@,Boston Bruins,0,3,L,,42,17,15,L 1,,28,2,0,0,,23,4,0,0,
75,2014-03-28,7:30 PM,@,Ottawa Senators,3,5,L,,42,18,15,L 2,,49,24,1,1,,29,19,1,1,
76,2014-03-30,7:30 PM,@,Pittsburgh Penguins,1,4,L,,42,19,15,L 3,,26,4,0,0,,27,2,0,0,
77,2014-04-03,8:00 PM,,Minnesota Wild,3,2,W,SO,43,19,15,W 1,,26,4,0,0,,27,2,0,0,
78,2014-04-04,7:00 PM,@,Columbus Blue Jackets,4,3,W,,44,19,15,W 2,,38,11,1,0,,27,9,1,0,
79,2014-04-06,12:30 PM,,St. Louis Blues,4,2,W,,45,19,15,W 3,,35,13,0,0,,23,15,1,0,
80,2014-04-09,7:30 PM,,Montreal Canadiens,3,2,W,OT,46,19,15,W 4,,28,0,0,0,,30,4,0,0,
81,2014-04-11,7:00 PM,@,Washington Capitals,0,4,L,,46,20,15,L 1,,34,4,0,0,,27,4,1,0,
82,2014-04-12,8:00 PM,@,Nashville Predators,5,7,L,,46,21,15,L 2,,25,4,0,0,,33,4,0,0,
