GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
68,2015-03-14,4:00 PM,@,San Jose Sharks,6,2,W,,41,21,6,W 2,,30,6,2,0,,35,8,1,0,
69,2015-03-17,8:30 PM,,New York Islanders,4,1,W,,42,21,6,W 3,,30,17,0,0,,39,2,0,0,
70,2015-03-18,8:00 PM,@,New York Rangers,1,0,W,,43,21,6,W 4,,31,4,0,0,,25,4,0,0,
71,2015-03-21,8:00 PM,@,Dallas Stars,0,4,L,,43,22,6,L 1,,33,6,0,0,,29,4,2,0,
72,2015-03-23,7:00 PM,@,Carolina Hurricanes,3,1,W,,44,22,6,W 1,,25,2,0,0,,44,0,0,0,
73,2015-03-25,8:00 PM,@,Philadelphia Flyers,1,4,L,,44,23,6,L 1,,35,7,1,0,,33,9,1,0,
74,2015-03-27,8:30 PM,,Columbus Blue Jackets,2,5,L,,44,24,6,L 2,,33,2,0,0,,27,10,0,1,
75,2015-03-29,7:30 PM,@,Winnipeg Jets,4,3,W,,45,24,6,W 1,,24,8,1,0,,34,6,2,1,
76,2015-03-30,8:30 PM,,Los Angeles Kings,4,1,W,,46,24,6,W 2,,40,2,1,0,,32,4,0,0,
77,2015-04-02,8:30 PM,,Vancouver Canucks,3,1,W,,47,24,6,W 3,,38,4,0,0,,36,6,0,0,
78,2015-04-03,7:00 PM,@,Buffalo Sabres,4,3,W,,48,24,6,W 4,,36,13,0,0,,38,13,1,0,
79,2015-04-05,7:30 PM,,St. Louis Blues,1,2,L,,48,25,6,L 1,,39,6,0,0,,33,4,1,0,
80,2015-04-07,8:30 PM,,Minnesota Wild,1,2,L,,48,26,6,L 2,,33,0,0,0,,30,2,0,0,
81,2015-04-09,8:00 PM,@,St. Louis Blues,1,2,L,,48,27,6,L 3,,22,12,0,0,,25,6,1,0,
82,2015-04-11,9:00 PM,@,Colorado Avalanche,2,3,L,,48,28,6,L 4,,30,6,0,0,,24,2,2,0,
