GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
58,2014-02-26,7:30 PM,@,Buffalo Sabres,4,5,L,OT,37,16,5,L 1,,33,10,2,0,,26,10,1,0,
59,2014-03-01,1:00 PM,,Washington Capitals,2,4,L,,37,17,5,L 2,,38,12,1,0,,31,10,2,0,
60,2014-03-02,7:00 PM,@,New York Rangers,6,3,W,,38,17,5,W 1,,33,12,0,1,,42,4,1,0,
61,2014-03-04,7:00 PM,,Florida Panthers,4,1,W,,39,17,5,W 2,,39,16,0,0,,24,14,0,0,
62,2014-03-06,7:00 PM,,Washington Capitals,3,0,W,,40,17,5,W 3,,43,0,0,0,,16,0,0,0,
63,2014-03-08,7:00 PM,@,Tampa Bay Lightning,4,3,W,SO,41,17,5,W 4,,32,7,0,0,,20,11,0,1,
64,2014-03-09,5:00 PM,@,Florida Panthers,5,2,W,,42,17,5,W 5,,42,8,2,0,,22,6,0,0,
65,2014-03-12,7:30 PM,@,Montreal Canadiens,4,1,W,,43,17,5,W 6,,32,13,0,0,,36,11,0,0,
66,2014-03-13,7:00 PM,,Phoenix Coyotes,2,1,W,,44,17,5,W 7,,20,10,0,0,,22,2,0,0,
67,2014-03-15,1:00 PM,,Carolina Hurricanes,5,1,W,,45,17,5,W 8,,41,8,0,0,,30,6,0,0,
68,2014-03-17,7:30 PM,,Minnesota Wild,4,1,W,,46,17,5,W 9,,29,2,0,0,,34,0,0,0,
69,2014-03-18,7:00 PM,@,New Jersey Devils,4,2,W,,47,17,5,W 10,,31,13,0,1,,24,9,1,0,
70,2014-03-21,9:00 PM,@,Colorado Avalanche,2,0,W,,48,17,5,W 11,,28,11,1,0,,31,7,0,0,
71,2014-03-22,9:00 PM,@,Phoenix Coyotes,4,2,W,,49,17,5,W 12,,28,10,0,0,,33,10,1,0,
72,2014-03-24,7:30 PM,,Montreal Canadiens,1,2,L,SO,49,17,6,L 1,,29,17,1,0,,22,17,1,0,
73,2014-03-27,7:00 PM,,Chicago Blackhawks,3,0,W,,50,17,6,W 1,,23,4,0,0,,28,2,0,0,
74,2014-03-29,12:30 PM,@,Washington Capitals,4,2,W,,51,17,6,W 2,,36,6,2,0,,33,8,0,0,
75,2014-03-30,12:30 PM,@,Philadelphia Flyers,4,3,W,SO,52,17,6,W 3,,30,13,1,0,,52,9,0,0,
76,2014-04-02,8:00 PM,@,Detroit Red Wings,2,3,L,,52,18,6,L 1,,35,4,1,0,,20,8,0,0,
77,2014-04-03,7:30 PM,@,Toronto Maple Leafs,3,4,L,OT,52,18,7,L 2,,38,11,0,0,,31,9,1,0,
78,2014-04-05,1:00 PM,,Philadelphia Flyers,5,2,W,,53,18,7,W 1,,42,11,0,0,,26,7,1,0,
79,2014-04-08,8:00 PM,@,Minnesota Wild,3,4,L,SO,53,18,8,L 1,,24,6,2,0,,24,10,1,0,
80,2014-04-10,8:00 PM,@,Winnipeg Jets,1,2,L,SO,53,18,9,L 2,,33,4,0,0,,37,10,0,0,
81,2014-04-12,12:30 PM,,Buffalo Sabres,4,1,W,,54,18,9,W 1,,30,20,1,0,,25,41,0,0,
82,2014-04-13,3:00 PM,@,New Jersey Devils,2,3,L,,54,19,9,L 1,,18,6,2,0,,31,6,1,0,
