GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
31,2016-12-13,7:00 PM,,Chicago Blackhawks,1,2,L,,20,10,1,L 1,,34,4,0,0,0,,26,0,0,1,0,18006,2:19,
32,2016-12-15,8:30 PM,@,Dallas Stars,2,0,W,,21,10,1,W 1,,30,10,0,3,1,,27,21,0,5,0,18212,2:33,
33,2016-12-17,8:00 PM,@,Nashville Predators,2,1,W,SO,22,10,1,W 2,,27,6,0,2,0,,32,4,0,3,0,17113,2:37,
34,2016-12-18,7:30 PM,,New Jersey Devils,3,2,W,SO,23,10,1,W 3,,27,8,0,2,0,,31,4,1,4,0,18006,2:43,
35,2016-12-20,7:00 PM,@,Pittsburgh Penguins,2,7,L,,23,11,1,L 1,,28,10,0,3,0,,47,6,3,5,0,18541,2:24,
36,2016-12-23,7:00 PM,,Minnesota Wild,4,7,L,,23,12,1,L 2,,35,2,0,2,0,,21,4,1,1,0,18006,2:25,
37,2016-12-27,7:00 PM,,Ottawa Senators,4,3,W,,24,12,1,W 1,,25,17,1,4,0,,36,19,0,4,0,18006,2:40,
38,2016-12-29,9:00 PM,@,Arizona Coyotes,6,3,W,,25,12,1,W 2,,32,6,4,7,0,,21,14,1,3,0,15090,2:27,
39,2016-12-31,8:00 PM,@,Colorado Avalanche,6,2,W,,26,12,1,W 3,,37,6,2,5,0,,27,10,0,3,0,17609,2:41,
40,2017-01-03,7:00 PM,,Buffalo Sabres,1,4,L,,26,13,1,L 1,,25,10,0,1,0,,19,2,1,5,0,18006,2:23,
41,2017-01-04,8:00 PM,@,Philadelphia Flyers,5,2,W,,27,13,1,W 1,,28,6,0,1,0,,32,4,1,3,0,19858,2:24,
42,2017-01-07,7:00 PM,@,Columbus Blue Jackets,5,4,W,,28,13,1,W 2,,34,8,1,2,0,,37,6,1,3,0,19001,2:28,
43,2017-01-13,7:00 PM,,Toronto Maple Leafs,2,4,L,,28,14,1,L 1,,36,8,0,6,0,,27,12,2,4,0,18006,2:29,
44,2017-01-14,7:00 PM,@,Montreal Canadiens,4,5,L,,28,15,1,L 2,,33,9,1,3,1,,32,24,0,2,0,21288,2:43,
45,2017-01-17,7:00 PM,,Dallas Stars,6,7,L,,28,16,1,L 3,,40,9,1,2,0,,31,11,1,1,0,18006,2:38,
46,2017-01-19,7:30 PM,@,Toronto Maple Leafs,5,2,W,,29,16,1,W 1,,41,6,0,4,1,,25,10,0,2,1,19088,2:31,
47,2017-01-22,12:30 PM,@,Detroit Red Wings,1,0,W,OT,30,16,1,W 2,,19,6,0,4,0,,21,8,0,3,0,20027,2:33,
48,2017-01-23,7:00 PM,,Los Angeles Kings,3,2,W,,31,16,1,W 3,,17,11,0,3,0,,38,13,0,2,0,18006,2:27,
49,2017-01-25,8:00 PM,,Philadelphia Flyers,0,2,L,,31,17,1,L 1,,34,6,0,3,0,,26,6,1,3,0,18006,2:17,
50,2017-01-31,7:00 PM,,Columbus Blue Jackets,4,6,L,,31,18,1,L 2,,37,4,0,1,0,,26,6,0,0,0,18006,2:35,
51,2017-02-02,7:30 PM,@,Buffalo Sabres,2,1,W,OT,32,18,1,W 1,,44,8,1,3,0,,37,8,0,3,0,18941,2:40,
52,2017-02-05,2:00 PM,,Calgary Flames,4,3,W,,33,18,1,W 2,,32,12,1,1,0,,32,22,1,1,0,18006,2:22,
53,2017-02-07,7:00 PM,,Anaheim Ducks,4,1,W,,34,18,1,W 3,,20,10,0,1,0,,44,4,0,4,0,18006,2:27,
54,2017-02-09,7:00 PM,,Nashville Predators,4,3,W,,35,18,1,W 4,,30,6,0,1,0,,37,2,2,3,0,18006,2:30,
55,2017-02-11,7:00 PM,,Colorado Avalanche,4,2,W,,36,18,1,W 5,,30,2,0,3,0,,34,6,0,1,0,18006,2:31,
56,2017-02-13,7:30 PM,@,Columbus Blue Jackets,3,2,W,,37,18,1,W 6,,23,8,0,5,1,,32,10,0,4,0,14378,2:26,
57,2017-02-16,7:00 PM,@,New York Islanders,2,4,L,,37,19,1,L 1,,27,6,1,4,0,,23,10,0,2,1,15795,2:25,
58,2017-02-19,12:30 PM,,Washington Capitals,2,1,W,,38,19,1,W 1,,30,6,0,2,0,,32,6,1,2,0,18006,2:23,
59,2017-02-21,7:00 PM,,Montreal Canadiens,2,3,L,SO,38,19,2,L 1,,30,4,0,4,0,,28,8,1,3,0,18006,2:39,
60,2017-02-23,7:30 PM,@,Toronto Maple Leafs,2,1,W,SO,39,19,2,W 1,,38,6,0,2,0,,33,4,0,3,0,19175,2:41,
61,2017-02-25,5:00 PM,@,New Jersey Devils,4,3,W,OT,40,19,2,W 2,,40,4,0,1,0,,38,2,1,2,0,16514,2:27,
62,2017-02-26,5:00 PM,,Columbus Blue Jackets,2,5,L,,40,20,2,L 1,,30,4,0,2,0,,26,4,1,2,0,18006,2:38,
63,2017-02-28,7:00 PM,,Washington Capitals,1,4,L,,40,21,2,L 2,,30,9,0,4,0,,38,13,1,2,0,18006,2:43,
64,2017-03-02,7:00 PM,@,Boston Bruins,2,1,W,,41,21,2,W 1,,21,4,0,4,0,,33,8,0,2,0,17565,2:30,
65,2017-03-04,7:00 PM,,Montreal Canadiens,1,4,L,,41,22,2,L 1,,27,4,0,0,0,,35,2,0,1,0,18006,2:25,
66,2017-03-06,7:30 PM,@,Tampa Bay Lightning,1,0,W,OT,42,22,2,W 1,,34,19,0,3,0,,38,15,0,6,0,19092,2:42,
67,2017-03-07,7:30 PM,@,Florida Panthers,5,2,W,,43,22,2,W 2,,28,10,0,4,0,,45,8,1,5,0,16116,2:32,
68,2017-03-09,7:00 PM,@,Carolina Hurricanes,3,4,L,,43,23,2,L 1,,43,8,3,6,0,,30,10,2,4,0,11404,2:27,
69,2017-03-12,7:00 PM,@,Detroit Red Wings,4,1,W,,44,23,2,W 1,,31,8,1,2,1,,24,4,1,4,0,20027,2:17,
70,2017-03-13,7:00 PM,,Tampa Bay Lightning,2,3,L,,44,24,2,L 1,,28,4,0,1,0,,16,2,1,2,0,18006,2:27,
71,2017-03-17,7:00 PM,,Florida Panthers,3,4,L,SO,44,24,3,L 2,,32,8,1,3,0,,37,10,1,2,0,18006,2:41,
72,2017-03-18,7:00 PM,@,Minnesota Wild,3,2,W,,45,24,3,W 1,,30,4,0,3,0,,27,8,1,3,0,19337,2:35,
73,2017-03-21,7:00 PM,@,New Jersey Devils,2,3,L,OT,45,24,4,L 1,,40,16,1,2,0,,29,24,1,3,0,16514,2:47,
74,2017-03-22,8:00 PM,,New York Islanders,2,3,L,,45,25,4,L 2,,36,13,1,4,0,,28,15,2,4,0,18006,2:37,
75,2017-03-25,10:30 PM,@,Los Angeles Kings,3,0,W,,46,25,4,W 1,,20,8,1,2,0,,30,8,0,3,0,18230,2:28,
76,2017-03-26,9:00 PM,@,Anaheim Ducks,3,6,L,,46,26,4,L 1,,28,11,0,2,0,,34,9,1,3,1,17174,2:36,
77,2017-03-28,10:30 PM,@,San Jose Sharks,4,5,L,OT,46,26,5,L 2,,28,6,2,3,0,,35,8,1,2,1,17562,2:29,
78,2017-03-31,7:00 PM,,Pittsburgh Penguins,3,4,L,SO,46,26,6,L 3,,33,6,1,2,0,,35,4,0,3,0,18006,2:44,
79,2017-04-02,7:30 PM,,Philadelphia Flyers,4,3,W,,47,26,6,W 1,,24,6,1,4,0,,23,8,0,3,0,18006,2:22,
80,2017-04-05,8:00 PM,@,Washington Capitals,0,2,L,,47,27,6,L 1,,24,6,0,0,0,,25,4,1,3,0,18506,2:24,
81,2017-04-08,12:30 PM,@,Ottawa Senators,1,3,L,,47,28,6,L 2,,19,13,0,2,0,,33,11,0,3,0,18976,2:29,
82,2017-04-09,7:00 PM,,Pittsburgh Penguins,3,2,W,,48,28,6,W 1,,25,0,1,1,0,,24,2,0,0,0,18006,2:29,
