G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
20,Wed Dec 2 2015,7:30p ET,,Box Score,@,New York Knicks,L,,87,99,1,19,L 1,
21,Sat Dec 5 2015,1:00p ET,,Box Score,,Denver Nuggets,L,,105,108,1,20,L 2,
22,Mon Dec 7 2015,7:00p ET,,Box Score,,San Antonio Spurs,L,,68,119,1,21,L 3,
23,Thu Dec 10 2015,7:30p ET,,Box Score,@,Brooklyn Nets,L,,91,100,1,22,L 4,
24,Fri Dec 11 2015,7:00p ET,,Box Score,,Detroit Pistons,L,,95,107,1,23,L 5,
25,Sun Dec 13 2015,6:00p ET,,Box Score,@,Toronto Raptors,L,,76,96,1,24,L 6,
26,Mon Dec 14 2015,8:00p ET,,Box Score,@,Chicago Bulls,L,,96,115,1,25,L 7,
27,Wed Dec 16 2015,8:00p ET,,Box Score,@,Atlanta Hawks,L,,106,127,1,26,L 8,
28,Fri Dec 18 2015,7:00p ET,,Box Score,,New York Knicks,L,,97,107,1,27,L 9,
29,Sun Dec 20 2015,3:30p ET,,Box Score,@,Cleveland Cavaliers,L,,86,108,1,28,L 10,
30,Tue Dec 22 2015,7:00p ET,,Box Score,,Memphis Grizzlies,L,,90,104,1,29,L 11,
31,Wed Dec 23 2015,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,100,113,1,30,L 12,
32,Sat Dec 26 2015,9:00p ET,,Box Score,@,Phoenix Suns,W,,111,104,2,30,W 1,
33,Mon Dec 28 2015,9:00p ET,,Box Score,@,Utah Jazz,L,,91,95,2,31,L 1,
34,Wed Dec 30 2015,10:00p ET,,Box Score,@,Sacramento Kings,W,,110,105,3,31,W 1,
35,Fri Jan 1 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,84,93,3,32,L 1,
36,Sat Jan 2 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,99,130,3,33,L 2,
37,Mon Jan 4 2016,7:00p ET,,Box Score,,Minnesota Timberwolves,W,,109,99,4,33,W 1,
38,Thu Jan 7 2016,7:00p ET,,Box Score,,Atlanta Hawks,L,,98,126,4,34,L 1,
39,Sat Jan 9 2016,7:30p ET,,Box Score,,Toronto Raptors,L,,95,108,4,35,L 2,
40,Sun Jan 10 2016,6:00p ET,,Box Score,,Cleveland Cavaliers,L,,85,95,4,36,L 3,
41,Thu Jan 14 2016,7:00p ET,,Box Score,,Chicago Bulls,L,OT,111,115,4,37,L 4,
42,Sat Jan 16 2016,7:30p ET,,Box Score,,Portland Trail Blazers,W,,114,89,5,37,W 1,
43,Mon Jan 18 2016,1:00p ET,,Box Score,@,New York Knicks,L,2OT,113,119,5,38,L 1,
44,Wed Jan 20 2016,7:00p ET,,Box Score,@,Orlando Magic,W,,96,87,6,38,W 1,
45,Sun Jan 24 2016,7:00p ET,,Box Score,,Boston Celtics,L,,92,112,6,39,L 1,
46,Tue Jan 26 2016,7:00p ET,,Box Score,,Phoenix Suns,W,,113,103,7,39,W 1,
47,Wed Jan 27 2016,7:30p ET,,Box Score,@,Detroit Pistons,L,,97,110,7,40,L 1,
48,Sat Jan 30 2016,5:00p ET,,Box Score,,Golden State Warriors,L,,105,108,7,41,L 2,
49,Wed Feb 3 2016,7:00p ET,,Box Score,,Atlanta Hawks,L,,86,124,7,42,L 3,
50,Fri Feb 5 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,94,106,7,43,L 4,
51,Sat Feb 6 2016,7:30p ET,,Box Score,,Brooklyn Nets,W,,103,98,8,43,W 1,
52,Mon Feb 8 2016,7:00p ET,,Box Score,,Los Angeles Clippers,L,OT,92,98,8,44,L 1,
53,Wed Feb 10 2016,7:00p ET,,Box Score,,Sacramento Kings,L,,110,114,8,45,L 2,
54,Fri Feb 19 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,114,121,8,46,L 3,
55,Sun Feb 21 2016,7:00p ET,,Box Score,@,Dallas Mavericks,L,,103,129,8,47,L 4,
56,Tue Feb 23 2016,7:00p ET,,Box Score,,Orlando Magic,L,,115,124,8,48,L 5,
57,Wed Feb 24 2016,7:30p ET,,Box Score,@,Detroit Pistons,L,,91,111,8,49,L 6,
58,Fri Feb 26 2016,7:00p ET,,Box Score,,Washington Wizards,L,,94,103,8,50,L 7,
59,Sun Feb 28 2016,6:00p ET,,Box Score,@,Orlando Magic,L,,116,130,8,51,L 8,
60,Mon Feb 29 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,108,116,8,52,L 9,
61,Wed Mar 2 2016,7:00p ET,,Box Score,,Charlotte Hornets,L,,99,119,8,53,L 10,
62,Fri Mar 4 2016,7:00p ET,,Box Score,,Miami Heat,L,,102,112,8,54,L 11,
63,Sun Mar 6 2016,6:00p ET,,Box Score,@,Miami Heat,L,,98,103,8,55,L 12,
64,Wed Mar 9 2016,7:00p ET,,Box Score,,Houston Rockets,L,,104,118,8,56,L 13,
65,Fri Mar 11 2016,7:00p ET,,Box Score,,Brooklyn Nets,W,,95,89,9,56,W 1,
66,Sat Mar 12 2016,7:00p ET,,Box Score,,Detroit Pistons,L,,111,125,9,57,L 1,
67,Tue Mar 15 2016,7:30p ET,,Box Score,@,Brooklyn Nets,L,,114,131,9,58,L 2,
68,Thu Mar 17 2016,7:00p ET,,Box Score,,Washington Wizards,L,,94,99,9,59,L 3,
69,Fri Mar 18 2016,7:00p ET,,Box Score,,Oklahoma City Thunder,L,,97,111,9,60,L 4,
70,Sun Mar 20 2016,6:00p ET,,Box Score,,Boston Celtics,L,,105,120,9,61,L 5,
71,Mon Mar 21 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,75,91,9,62,L 6,
72,Wed Mar 23 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,103,104,9,63,L 7,
73,Sat Mar 26 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,105,108,9,64,L 8,
74,Sun Mar 27 2016,8:00p ET,,Box Score,@,Golden State Warriors,L,,105,117,9,65,L 9,
75,Tue Mar 29 2016,7:00p ET,,Box Score,,Charlotte Hornets,L,,85,100,9,66,L 10,
76,Fri Apr 1 2016,7:00p ET,,Box Score,@,Charlotte Hornets,L,,91,100,9,67,L 11,
77,Sat Apr 2 2016,7:30p ET,,Box Score,,Indiana Pacers,L,,102,115,9,68,L 12,
78,Tue Apr 5 2016,7:00p ET,,Box Score,,New Orleans Pelicans,W,,107,93,10,68,W 1,
79,Fri Apr 8 2016,7:00p ET,,Box Score,,New York Knicks,L,,102,109,10,69,L 1,
80,Sun Apr 10 2016,5:00p ET,,Box Score,,Milwaukee Bucks,L,OT,108,109,10,70,L 2,
81,Tue Apr 12 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,98,122,10,71,L 3,
82,Wed Apr 13 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,105,115,10,72,L 4,
