GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
18,2016-11-17,7:00 PM,,Winnipeg Jets,5,2,W,,8,7,3,W 1,,22,2,0,1,0,,32,2,0,1,0,19432,2:26,
19,2016-11-19,1:00 PM,,Tampa Bay Lightning,0,3,L,,8,8,3,L 1,,32,11,0,5,0,,18,17,1,2,0,19732,2:25,
20,2016-11-22,7:30 PM,@,Florida Panthers,3,1,W,,9,8,3,W 1,,28,10,2,2,0,,39,6,0,4,0,15515,2:28,
21,2016-11-23,7:30 PM,@,Tampa Bay Lightning,2,4,L,,9,9,3,L 1,,31,12,0,4,0,,29,8,1,7,0,19092,2:41,
22,2016-11-25,1:00 PM,,New York Rangers,2,3,L,,9,10,3,L 2,,42,26,0,0,0,,23,12,0,2,0,19981,2:33,
23,2016-11-27,7:30 PM,,Calgary Flames,5,3,W,,10,10,3,W 1,,43,14,1,6,0,,32,34,1,1,2,19408,2:38,
24,2016-11-29,7:30 PM,,Boston Bruins,3,2,W,SO,11,10,3,W 2,,21,12,1,5,0,,47,14,0,4,0,19558,2:57,
25,2016-12-01,7:30 PM,@,Ottawa Senators,3,2,W,OT,12,10,3,W 3,,32,8,0,4,0,,21,12,1,2,0,14334,2:39,
26,2016-12-03,1:00 PM,,Chicago Blackhawks,3,1,W,,13,10,3,W 4,,30,0,0,3,0,,27,4,0,1,0,19487,2:27,
27,2016-12-04,6:00 PM,@,Nashville Predators,4,2,W,,14,10,3,W 5,,28,4,2,5,0,,32,8,0,2,0,17113,2:34,
28,2016-12-06,7:00 PM,,Florida Panthers,3,2,W,OT,15,10,3,W 6,,25,6,1,4,0,,44,10,0,2,0,18999,2:41,
29,2016-12-08,7:00 PM,,Edmonton Oilers,6,5,W,,16,10,3,W 7,,31,8,1,5,0,,33,10,2,4,1,19346,2:35,
30,2016-12-10,1:00 PM,,Dallas Stars,4,2,W,,17,10,3,W 8,,22,28,3,6,0,,23,32,0,4,0,19594,2:44,
31,2016-12-11,5:00 PM,@,Detroit Red Wings,1,0,W,OT,18,10,3,W 9,,36,15,0,4,0,,28,23,0,5,0,20027,2:41,
32,2016-12-14,10:00 PM,@,Colorado Avalanche,4,3,W,,19,10,3,W 10,,25,11,0,3,0,,29,11,0,3,0,14456,2:33,
33,2016-12-17,2:00 PM,@,Dallas Stars,1,3,L,,19,11,3,L 1,,32,5,0,1,0,,28,7,0,1,0,18243,2:22,
34,2016-12-19,7:00 PM,,Nashville Predators,1,2,L,SO,19,11,4,L 2,,32,4,0,3,0,,31,6,0,2,0,19660,2:36,
35,2016-12-21,8:00 PM,,Washington Capitals,3,2,W,SO,20,11,4,W 1,,38,4,0,2,0,,38,6,0,1,0,20011,2:41,
36,2016-12-22,7:00 PM,@,New Jersey Devils,0,4,L,,20,12,4,L 1,,16,50,0,2,0,,22,30,2,6,0,16514,2:42,
37,2016-12-28,8:00 PM,@,St. Louis Blues,3,6,L,,20,13,4,L 2,,20,10,1,4,0,,25,10,2,4,0,19409,2:50,
38,2016-12-30,10:00 PM,@,San Jose Sharks,0,2,L,,20,14,4,L 3,,21,6,0,2,0,,34,4,1,3,0,17562,2:30,
39,2017-01-01,8:00 PM,@,Anaheim Ducks,3,4,L,SO,20,14,5,L 4,,55,13,1,5,0,,25,19,0,2,0,17174,2:51,
40,2017-01-04,8:00 PM,,New York Rangers,2,5,L,,20,15,5,L 5,,32,4,1,3,0,,28,6,0,1,0,19858,2:24,
41,2017-01-07,1:00 PM,,Tampa Bay Lightning,4,2,W,,21,15,5,W 1,,44,6,0,2,0,,26,6,0,2,0,19810,2:28,
42,2017-01-08,6:00 PM,@,Columbus Blue Jackets,1,2,L,OT,21,15,6,L 1,,26,7,0,1,0,,25,7,0,2,0,17962,2:34,
43,2017-01-10,7:00 PM,@,Buffalo Sabres,1,4,L,,21,16,6,L 2,,40,9,1,2,0,,27,9,1,2,0,18920,2:30,
44,2017-01-12,7:00 PM,,Vancouver Canucks,5,4,W,SO,22,16,6,W 1,,35,16,2,4,0,,38,8,1,8,0,19757,2:52,
45,2017-01-14,1:00 PM,@,Boston Bruins,3,6,L,,22,17,6,L 1,,24,15,2,4,0,,39,10,2,6,1,17565,2:33,
46,2017-01-15,1:00 PM,@,Washington Capitals,0,5,L,,22,18,6,L 2,,24,4,0,5,0,,22,8,1,2,0,18506,2:15,
47,2017-01-21,7:00 PM,,New Jersey Devils,1,4,L,,22,19,6,L 3,,36,19,0,6,0,,29,17,2,7,0,19932,2:39,
48,2017-01-22,6:00 PM,@,New York Islanders,3,2,W,OT,23,19,6,W 1,,47,4,0,3,0,,38,6,0,2,0,13146,2:39,
49,2017-01-25,8:00 PM,@,New York Rangers,2,0,W,,24,19,6,W 2,,26,6,1,3,0,,34,6,0,3,0,18006,2:17,
50,2017-01-26,7:00 PM,,Toronto Maple Leafs,2,1,W,,25,19,6,W 3,,34,6,0,1,0,,28,2,0,3,0,19723,2:28,
51,2017-01-31,7:00 PM,@,Carolina Hurricanes,1,5,L,,25,20,6,L 1,,16,14,1,5,0,,28,10,2,7,0,13577,2:38,
52,2017-02-02,7:00 PM,,Montreal Canadiens,3,1,W,,26,20,6,W 1,,24,2,1,3,0,,16,6,0,1,0,19768,2:22,
53,2017-02-04,1:00 PM,,Los Angeles Kings,0,1,L,OT,26,20,7,L 1,,17,2,0,2,0,,28,4,0,2,0,19833,2:29,
54,2017-02-06,7:00 PM,,St. Louis Blues,0,2,L,,26,21,7,L 2,,26,8,0,4,0,,16,12,0,2,0,19589,2:29,
55,2017-02-09,7:00 PM,,New York Islanders,1,3,L,,26,22,7,L 3,,35,6,1,3,0,,30,8,1,2,0,19737,2:19,
56,2017-02-11,1:00 PM,,San Jose Sharks,2,1,W,OT,27,22,7,W 1,,35,8,0,3,0,,24,6,1,3,0,19910,2:36,
57,2017-02-15,9:30 PM,@,Calgary Flames,1,3,L,,27,23,7,L 1,,34,11,0,4,0,,23,26,0,3,0,18815,2:36,
58,2017-02-16,9:00 PM,@,Edmonton Oilers,3,6,L,,27,24,7,L 2,,36,7,1,3,0,,25,13,0,0,0,18347,2:42,
59,2017-02-19,10:00 PM,@,Vancouver Canucks,3,2,W,,28,24,7,W 1,,28,8,2,3,0,,20,6,0,4,0,18865,2:28,
60,2017-02-22,8:00 PM,,Washington Capitals,1,4,L,,28,25,7,L 1,,34,10,0,2,0,,29,10,1,2,0,19849,2:39,
61,2017-02-25,8:00 PM,@,Pittsburgh Penguins,2,4,L,,28,26,7,L 2,,38,12,1,4,0,,29,10,1,5,0,67318,2:39,
62,2017-02-28,7:00 PM,,Colorado Avalanche,4,0,W,,29,26,7,W 1,,26,13,2,3,1,,33,9,0,4,0,19564,2:24,
63,2017-03-02,7:00 PM,,Florida Panthers,2,1,W,SO,30,26,7,W 2,,49,8,0,4,0,,40,12,0,2,1,19650,2:41,
64,2017-03-04,7:30 PM,@,Washington Capitals,1,2,L,OT,30,26,8,L 1,,31,10,0,6,0,,24,14,1,4,0,18506,2:33,
65,2017-03-07,7:30 PM,@,Buffalo Sabres,6,3,W,,31,26,8,W 1,,30,11,0,3,0,,34,11,2,4,0,18233,2:29,
66,2017-03-09,7:30 PM,@,Toronto Maple Leafs,2,4,L,,31,27,8,L 1,,38,4,1,3,0,,33,6,2,2,0,18894,2:36,
67,2017-03-11,1:00 PM,@,Boston Bruins,1,2,L,,31,28,8,L 2,,27,11,0,2,0,,27,9,1,3,0,17565,2:39,
68,2017-03-13,7:00 PM,,Columbus Blue Jackets,3,5,L,,31,29,8,L 3,,26,8,1,8,0,,29,20,1,2,0,19447,2:39,
69,2017-03-15,7:30 PM,,Pittsburgh Penguins,4,0,W,,32,29,8,W 1,,28,4,1,4,0,,23,8,0,2,0,19514,2:23,
70,2017-03-16,7:00 PM,@,New Jersey Devils,2,6,L,,32,30,8,L 1,,19,8,0,3,0,,29,18,1,3,0,13718,2:26,
71,2017-03-19,7:30 PM,,Carolina Hurricanes,4,3,W,OT,33,30,8,W 1,,44,4,0,3,0,,22,6,1,2,0,19517,2:30,
72,2017-03-21,8:00 PM,@,Winnipeg Jets,2,3,L,,33,31,8,L 1,,26,18,0,3,1,,33,12,1,6,0,15294,2:33,
73,2017-03-23,8:00 PM,@,Minnesota Wild,3,1,W,,34,31,8,W 1,,27,4,0,1,0,,25,2,0,2,0,19004,2:24,
74,2017-03-25,2:00 PM,@,Columbus Blue Jackets,0,1,L,,34,32,8,L 1,,36,13,0,3,0,,21,15,0,2,0,19052,2:28,
75,2017-03-26,7:00 PM,@,Pittsburgh Penguins,6,2,W,,35,32,8,W 1,,33,9,0,1,0,,27,7,1,2,0,18654,2:29,
76,2017-03-28,7:00 PM,,Ottawa Senators,3,2,W,SO,36,32,8,W 2,,35,11,1,4,0,,28,13,1,3,0,19706,2:42,
77,2017-03-30,7:00 PM,,New York Islanders,6,3,W,,37,32,8,W 3,,30,23,1,2,0,,41,23,0,2,0,19703,2:45,
78,2017-04-01,7:00 PM,,New Jersey Devils,3,0,W,,38,32,8,W 4,,41,40,2,5,0,,32,42,0,4,0,19911,2:45,
79,2017-04-02,7:30 PM,@,New York Rangers,3,4,L,,38,33,8,L 1,,23,8,0,3,0,,24,6,1,4,0,18006,2:22,
80,2017-04-04,7:00 PM,@,New Jersey Devils,0,1,L,OT,38,33,9,L 2,,35,10,0,4,0,,27,8,0,5,0,13861,2:27,
81,2017-04-08,12:30 PM,,Columbus Blue Jackets,4,2,W,,39,33,9,W 1,,24,11,1,3,0,,22,13,1,2,0,19789,2:18,
82,2017-04-09,7:00 PM,,Carolina Hurricanes,3,4,L,SO,39,33,10,L 1,,44,6,0,1,0,,35,2,1,3,0,19559,2:29,
