GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
26,2014-12-08,7:00 PM,,Pittsburgh Penguins,4,3,W,OT,12,10,4,W 1,,29,2,0,0,,35,8,0,0,
27,2014-12-13,10:00 PM,@,Vancouver Canucks,5,1,W,,13,10,4,W 2,,23,2,0,0,,30,0,0,0,
28,2014-12-14,9:30 PM,@,Edmonton Oilers,2,0,W,,14,10,4,W 3,,22,4,0,0,,16,2,0,0,
29,2014-12-16,9:00 PM,@,Calgary Flames,5,2,W,,15,10,4,W 4,,23,11,1,1,,31,11,1,0,
30,2014-12-20,7:00 PM,@,Carolina Hurricanes,3,2,W,SO,16,10,4,W 5,,34,8,1,0,,20,4,0,0,
31,2014-12-21,7:00 PM,,Carolina Hurricanes,1,0,W,,17,10,4,W 6,,31,2,0,0,,18,6,0,0,
32,2014-12-23,7:00 PM,,Washington Capitals,4,2,W,,18,10,4,W 7,,27,8,2,0,,32,12,1,0,
33,2014-12-27,7:00 PM,,New Jersey Devils,3,1,W,,19,10,4,W 8,,28,8,1,1,,20,6,0,0,
34,2014-12-29,8:30 PM,@,Dallas Stars,2,3,L,,19,11,4,L 1,,30,10,1,0,,27,6,1,0,
35,2014-12-31,6:00 PM,@,Florida Panthers,5,2,W,,20,11,4,W 1,,34,8,1,0,,20,6,1,0,
36,2015-01-03,7:00 PM,,Buffalo Sabres,6,1,W,,21,11,4,W 2,,39,8,3,0,,25,8,0,0,
37,2015-01-07,10:30 PM,@,Anaheim Ducks,4,1,W,,22,11,4,W 3,,30,6,0,0,,25,2,1,0,
38,2015-01-08,10:30 PM,@,Los Angeles Kings,4,3,W,,23,11,4,W 4,,26,8,2,0,,31,8,0,0,
39,2015-01-10,10:00 PM,@,San Jose Sharks,3,1,W,,24,11,4,W 5,,32,6,0,0,,31,6,1,0,
40,2015-01-13,7:00 PM,,New York Islanders,0,3,L,,24,12,4,L 1,,27,6,0,0,,44,4,0,1,
41,2015-01-15,7:00 PM,@,Boston Bruins,0,3,L,,24,13,4,L 2,,30,18,0,0,,32,28,0,0,
42,2015-01-16,7:00 PM,@,Columbus Blue Jackets,2,1,W,,25,13,4,W 1,,26,18,0,0,,36,14,0,0,
43,2015-01-18,12:30 PM,@,Pittsburgh Penguins,5,2,W,,26,13,4,W 2,,31,6,1,0,,34,12,1,0,
44,2015-01-20,7:00 PM,,Ottawa Senators,3,2,W,OT,27,13,4,W 3,,35,4,0,0,,35,6,1,0,
45,2015-01-27,7:00 PM,@,New York Islanders,1,4,L,,27,14,4,L 1,,41,18,1,0,,38,16,1,0,
46,2015-01-29,7:00 PM,,Montreal Canadiens,0,1,L,,27,15,4,L 2,,24,17,0,0,,26,15,0,0,
47,2015-01-31,7:00 PM,,Carolina Hurricanes,4,1,W,,28,15,4,W 1,,37,6,0,1,,32,4,0,0,
48,2015-02-02,7:00 PM,,Florida Panthers,6,3,W,,29,15,4,W 2,,38,6,1,1,,36,8,1,0,
49,2015-02-04,8:00 PM,,Boston Bruins,3,2,W,,30,15,4,W 3,,25,4,0,0,,20,4,0,0,
50,2015-02-07,3:00 PM,@,Nashville Predators,2,3,L,,30,16,4,L 1,,32,2,1,0,,23,4,0,0,
51,2015-02-08,5:00 PM,,Dallas Stars,2,3,L,OT,30,16,5,L 2,,36,6,1,0,,25,6,1,0,
52,2015-02-10,7:30 PM,@,Toronto Maple Leafs,5,4,W,,31,16,5,W 1,,39,4,0,1,,34,4,1,0,
53,2015-02-12,9:00 PM,@,Colorado Avalanche,6,3,W,,32,16,5,W 2,,31,12,1,0,,29,6,0,0,
54,2015-02-14,8:00 PM,@,Arizona Coyotes,5,1,W,,33,16,5,W 3,,32,4,0,1,,35,0,0,0,
55,2015-02-16,7:00 PM,@,New York Islanders,6,5,W,,34,16,5,W 4,,42,6,0,0,,43,6,0,0,
56,2015-02-19,7:00 PM,,Vancouver Canucks,4,5,L,SO,34,16,6,L 1,,34,11,0,0,,28,15,1,0,
57,2015-02-20,7:00 PM,@,Buffalo Sabres,3,1,W,,35,16,6,W 1,,43,21,0,0,,25,23,0,0,
58,2015-02-22,7:30 PM,,Columbus Blue Jackets,4,3,W,SO,36,16,6,W 2,,37,6,0,0,,30,8,0,0,
59,2015-02-24,7:00 PM,,Calgary Flames,1,0,W,,37,16,6,W 3,,29,5,0,0,,21,9,0,0,
60,2015-02-26,7:00 PM,,Arizona Coyotes,4,3,W,,38,16,6,W 4,,38,15,2,0,,40,11,2,0,
61,2015-02-28,8:00 PM,@,Philadelphia Flyers,2,4,L,,38,17,6,L 1,,36,6,0,0,,34,6,0,1,
62,2015-03-02,7:00 PM,,Nashville Predators,4,1,W,,39,17,6,W 1,,40,4,0,0,,26,2,0,0,
63,2015-03-04,8:00 PM,@,Detroit Red Wings,1,2,L,OT,39,17,7,L 1,,40,6,1,0,,31,8,1,0,
64,2015-03-08,7:30 PM,@,Chicago Blackhawks,1,0,W,OT,40,17,7,W 1,,36,6,0,0,,29,2,0,0,
65,2015-03-10,7:00 PM,@,New York Islanders,2,1,W,,41,17,7,W 2,,22,8,0,0,,30,8,0,0,
66,2015-03-11,8:00 PM,@,Washington Capitals,3,1,W,,42,17,7,W 3,,31,8,0,0,,29,8,1,0,
67,2015-03-14,7:00 PM,@,Buffalo Sabres,2,0,W,,43,17,7,W 4,,33,11,0,0,,20,11,0,0,
68,2015-03-15,5:00 PM,,Florida Panthers,2,1,W,,44,17,7,W 5,,34,6,0,0,,39,4,0,0,
69,2015-03-18,8:00 PM,,Chicago Blackhawks,0,1,L,,44,18,7,L 1,,25,4,0,0,,31,4,0,0,
70,2015-03-21,7:00 PM,@,Carolina Hurricanes,3,2,W,SO,45,18,7,W 1,,29,4,0,0,,30,4,1,0,
71,2015-03-22,7:30 PM,,Anaheim Ducks,7,2,W,,46,18,7,W 2,,29,4,1,0,,38,6,0,0,
72,2015-03-24,7:00 PM,,Los Angeles Kings,2,4,L,,46,19,7,L 1,,36,4,0,0,,35,2,0,0,
73,2015-03-26,7:30 PM,@,Ottawa Senators,5,1,W,,47,19,7,W 1,,32,14,0,0,,24,2,0,0,
74,2015-03-28,1:00 PM,@,Boston Bruins,2,4,L,,47,20,7,L 1,,32,24,0,0,,30,7,0,0,
75,2015-03-29,3:00 PM,,Washington Capitals,2,5,L,,47,21,7,L 2,,25,6,0,0,,31,10,1,0,
76,2015-03-31,8:00 PM,@,Winnipeg Jets,3,2,W,,48,21,7,W 1,,24,4,1,0,,34,6,0,0,
77,2015-04-02,8:00 PM,@,Minnesota Wild,3,2,W,,49,21,7,W 2,,26,4,1,0,,28,12,0,0,
78,2015-04-04,7:00 PM,,New Jersey Devils,6,1,W,,50,21,7,W 3,,32,10,0,1,,36,4,0,0,
79,2015-04-06,7:00 PM,,Columbus Blue Jackets,4,3,W,OT,51,21,7,W 4,,42,6,0,0,,32,6,0,0,
80,2015-04-07,7:00 PM,@,New Jersey Devils,4,2,W,,52,21,7,W 5,,40,4,1,0,,21,14,1,0,
81,2015-04-09,7:00 PM,,Ottawa Senators,0,3,L,,52,22,7,L 1,,26,4,0,0,,27,2,0,0,
82,2015-04-11,12:30 PM,@,Washington Capitals,4,2,W,,53,22,7,W 1,,34,9,1,0,,24,25,1,0,
