GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
72,2015-03-21,7:00 PM,@,Florida Panthers,1,2,L,SO,36,24,12,L 4,,27,6,1,0,,25,6,0,0,
73,2015-03-22,5:00 PM,@,Tampa Bay Lightning,3,5,L,,36,25,12,L 5,,28,9,1,0,,19,11,1,0,
74,2015-03-26,7:00 PM,,Anaheim Ducks,2,3,L,OT,36,25,13,L 6,,29,8,2,0,,32,12,0,0,
75,2015-03-28,1:00 PM,,New York Rangers,4,2,W,,37,25,13,W 1,,30,7,0,0,,32,24,0,0,
76,2015-03-29,5:00 PM,@,Carolina Hurricanes,2,1,W,OT,38,25,13,W 2,,30,6,0,0,,31,6,0,0,
77,2015-03-31,7:00 PM,,Florida Panthers,3,2,W,,39,25,13,W 3,,29,6,0,0,,24,8,1,0,
78,2015-04-02,7:30 PM,@,Detroit Red Wings,3,2,W,,40,25,13,W 4,,25,10,1,0,,37,6,1,0,
79,2015-04-04,7:00 PM,,Toronto Maple Leafs,2,1,W,SO,41,25,13,W 5,,50,4,0,0,,28,6,0,0,
80,2015-04-08,8:00 PM,@,Washington Capitals,0,3,L,,41,26,13,L 1,,27,6,0,0,,33,0,0,0,
81,2015-04-09,7:30 PM,@,Florida Panthers,2,4,L,,41,27,13,L 2,,36,15,1,0,,30,17,1,0,
82,2015-04-11,7:30 PM,@,Tampa Bay Lightning,2,3,L,SO,41,27,14,L 3,,38,4,0,0,,25,6,0,0,
