GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
36,2016-12-23,8:30 PM,,Colorado Avalanche,1,2,L,OT,22,9,5,L 2,,39,4,1,4,0,,34,10,0,1,0,21918,2:32,
37,2016-12-27,8:30 PM,,Winnipeg Jets,1,3,L,,22,10,5,L 3,,35,2,0,3,0,,34,6,0,1,0,22117,2:27,
38,2016-12-29,8:00 PM,@,Nashville Predators,3,2,W,,23,10,5,W 1,,23,10,2,5,0,,38,10,1,4,0,17229,2:24,
39,2016-12-30,7:30 PM,@,Carolina Hurricanes,2,3,L,,23,11,5,L 1,,29,2,0,1,0,,28,2,0,1,0,18016,2:23,
40,2017-01-02,1:00 PM,@,St. Louis Blues,1,4,L,,23,12,5,L 2,,23,8,0,3,0,,35,6,0,4,0,46556,2:31,
41,2017-01-05,8:30 PM,,Buffalo Sabres,4,3,W,OT,24,12,5,W 1,,43,4,0,2,0,,20,4,2,3,0,21824,2:21,
42,2017-01-06,8:30 PM,,Carolina Hurricanes,2,1,W,,25,12,5,W 2,,24,6,1,3,0,,40,6,0,3,0,21822,2:29,
43,2017-01-08,7:00 PM,,Nashville Predators,5,2,W,,26,12,5,W 3,,31,4,0,1,0,,27,2,0,3,0,21658,2:27,
44,2017-01-10,8:30 PM,,Detroit Red Wings,4,3,W,OT,27,12,5,W 4,,43,4,2,6,0,,36,14,0,1,0,22019,2:39,
45,2017-01-13,7:00 PM,@,Washington Capitals,0,6,L,,27,13,5,L 1,,24,0,0,2,0,,34,4,0,0,0,18506,2:23,
46,2017-01-15,7:00 PM,,Minnesota Wild,2,3,L,,27,14,5,L 2,,35,4,0,2,0,,32,6,1,1,0,22051,2:26,
47,2017-01-17,9:00 PM,@,Colorado Avalanche,6,4,W,,28,14,5,W 1,,27,6,0,1,0,,23,4,1,2,0,18007,2:26,
