GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
21,2014-11-22,8:00 PM,@,Dallas Stars,4,5,L,,11,6,4,L 1,,41,12,1,0,,23,8,2,0,
22,2014-11-25,8:00 PM,@,Nashville Predators,3,4,L,SO,11,6,5,L 2,,21,6,0,0,,33,6,0,0,
23,2014-11-26,8:00 PM,@,Minnesota Wild,4,0,W,,12,6,5,W 1,,22,6,0,0,,28,6,0,0,
24,2014-11-29,10:00 PM,,Chicago Blackhawks,1,4,L,,12,7,5,L 1,,20,19,0,0,,25,11,0,0,
25,2014-12-02,10:30 PM,,Boston Bruins,2,0,W,,13,7,5,W 1,,35,2,0,0,,31,8,0,0,
26,2014-12-04,9:00 PM,@,Arizona Coyotes,4,0,W,,14,7,5,W 2,,43,4,2,0,,26,6,0,0,
27,2014-12-06,4:00 PM,,Philadelphia Flyers,1,2,L,,14,8,5,L 1,,38,10,0,0,,16,10,1,0,
28,2014-12-09,7:30 PM,@,Buffalo Sabres,0,1,L,,14,9,5,L 2,,34,8,0,0,,16,4,1,0,
29,2014-12-11,7:30 PM,@,Ottawa Senators,5,3,W,,15,9,5,W 1,,36,9,1,0,,35,13,0,1,
30,2014-12-12,7:30 PM,@,Montreal Canadiens,2,6,L,,15,10,5,L 1,,46,6,0,0,,20,10,2,0,
31,2014-12-14,5:00 PM,@,Toronto Maple Leafs,3,4,L,SO,15,10,6,L 2,,36,8,0,0,,31,6,1,0,
32,2014-12-16,8:00 PM,@,St. Louis Blues,2,5,L,,15,11,6,L 3,,23,6,1,0,,23,12,2,0,
33,2014-12-18,10:30 PM,,St. Louis Blues,6,4,W,,16,11,6,W 1,,37,13,3,0,,28,19,2,0,
34,2014-12-20,4:00 PM,,Arizona Coyotes,4,2,W,,17,11,6,W 2,,35,6,2,0,,17,10,0,0,
35,2014-12-22,10:30 PM,,Calgary Flames,3,4,L,OT,17,11,7,L 1,,34,4,2,0,,28,4,1,0,
36,2014-12-27,10:00 PM,,San Jose Sharks,3,1,W,,18,11,7,W 1,,29,4,2,0,,22,8,0,0,
37,2014-12-29,9:00 PM,@,Calgary Flames,1,2,L,,18,12,7,L 1,,27,4,0,0,,15,4,0,0,
38,2014-12-30,9:30 PM,@,Edmonton Oilers,2,3,L,SO,18,12,8,L 2,,39,8,1,0,,21,8,0,0,
39,2015-01-01,10:00 PM,@,Vancouver Canucks,3,2,W,,19,12,8,W 1,,40,2,1,0,,16,8,1,0,
40,2015-01-03,4:00 PM,,Nashville Predators,6,7,L,OT,19,12,9,L 1,,30,8,0,0,,25,10,1,0,
41,2015-01-08,10:30 PM,,New York Rangers,3,4,L,,19,13,9,L 2,,31,8,0,0,,26,8,2,0,
42,2015-01-10,10:00 PM,,Winnipeg Jets,4,5,L,SO,19,13,10,L 3,,29,10,2,0,,25,16,1,0,
43,2015-01-12,10:30 PM,,Toronto Maple Leafs,2,0,W,,20,13,10,W 1,,20,13,0,0,,19,11,0,0,
44,2015-01-14,10:30 PM,,New Jersey Devils,3,5,L,,20,14,10,L 1,,26,13,0,0,,20,13,2,0,
45,2015-01-17,10:00 PM,,Anaheim Ducks,2,3,L,SO,20,14,11,L 2,,28,9,1,0,,31,11,1,0,
46,2015-01-19,10:30 PM,,Calgary Flames,1,2,L,OT,20,14,12,L 3,,34,16,0,0,,23,12,0,0,
47,2015-01-21,10:30 PM,@,San Jose Sharks,2,4,L,,20,15,12,L 4,,28,13,1,0,,24,17,2,0,
48,2015-01-28,10:30 PM,,Chicago Blackhawks,4,3,W,,21,15,12,W 1,,27,8,1,0,,29,4,1,0,
49,2015-01-31,7:00 PM,@,Boston Bruins,1,3,L,,21,16,12,L 1,,31,2,0,0,,33,2,0,0,
50,2015-02-03,7:00 PM,@,Washington Capitals,0,4,L,,21,17,12,L 2,,27,8,0,0,,27,4,1,0,
51,2015-02-05,7:30 PM,@,Florida Panthers,2,3,L,,21,18,12,L 3,,31,2,1,0,,20,4,0,0,
52,2015-02-07,5:00 PM,@,Tampa Bay Lightning,4,2,W,,22,18,12,W 1,,29,8,0,0,,28,10,0,0,
53,2015-02-09,7:00 PM,@,Columbus Blue Jackets,4,3,W,,23,18,12,W 2,,44,7,0,0,,26,7,0,0,
54,2015-02-12,10:30 PM,,Calgary Flames,5,3,W,,24,18,12,W 3,,45,11,0,0,,18,9,1,0,
55,2015-02-14,10:00 PM,,Washington Capitals,3,1,W,,25,18,12,W 4,,30,4,0,0,,28,6,0,0,
56,2015-02-16,10:30 PM,,Tampa Bay Lightning,3,2,W,,26,18,12,W 5,,28,2,0,0,,23,6,0,0,
57,2015-02-18,10:00 PM,@,Colorado Avalanche,4,1,W,,27,18,12,W 6,,26,6,1,0,,43,8,0,0,
58,2015-02-21,10:00 PM,@,San Jose Sharks,2,1,W,,28,18,12,W 7,,29,6,0,0,,32,4,0,0,
59,2015-02-24,10:30 PM,,Detroit Red Wings,1,0,W,,29,18,12,W 8,,27,12,1,0,,20,10,0,0,
60,2015-02-26,10:30 PM,,Ottawa Senators,0,1,L,,29,19,12,L 1,,35,6,0,0,,28,8,0,0,
61,2015-02-27,10:00 PM,@,Anaheim Ducks,2,4,L,,29,20,12,L 2,,22,2,0,0,,32,2,0,0,
62,2015-03-01,4:00 PM,@,Winnipeg Jets,2,5,L,,29,21,12,L 3,,20,25,0,0,,29,27,0,0,
63,2015-03-03,9:30 PM,@,Edmonton Oilers,5,2,W,,30,21,12,W 1,,29,8,0,1,,23,6,1,0,
64,2015-03-05,10:30 PM,,Montreal Canadiens,4,3,W,SO,31,21,12,W 2,,29,11,2,0,,18,15,0,0,
65,2015-03-07,10:00 PM,,Pittsburgh Penguins,0,1,L,OT,31,21,13,L 1,,31,10,0,0,,18,6,0,0,
66,2015-03-10,9:00 PM,@,Colorado Avalanche,5,2,W,,32,21,13,W 1,,30,6,1,0,,23,6,0,0,
67,2015-03-12,10:00 PM,@,Vancouver Canucks,4,0,W,,33,21,13,W 2,,20,9,1,0,,19,11,0,0,
68,2015-03-14,10:00 PM,,Nashville Predators,1,2,L,,33,22,13,L 1,,24,8,1,0,,23,4,1,0,
69,2015-03-16,10:30 PM,,Arizona Coyotes,1,0,W,,34,22,13,W 1,,35,4,0,0,,25,6,0,0,
70,2015-03-18,10:30 PM,@,Anaheim Ducks,2,3,L,OT,34,22,14,L 1,,31,8,1,0,,26,8,0,0,
71,2015-03-21,4:00 PM,,Vancouver Canucks,1,4,L,,34,23,14,L 2,,26,21,1,0,,42,8,1,1,
72,2015-03-23,7:00 PM,@,New Jersey Devils,3,1,W,,35,23,14,W 1,,33,4,1,0,,20,8,0,0,
73,2015-03-24,7:00 PM,@,New York Rangers,4,2,W,,36,23,14,W 2,,35,2,0,0,,36,4,0,0,
74,2015-03-26,7:00 PM,@,New York Islanders,3,2,W,,37,23,14,W 3,,37,4,0,1,,27,4,1,0,
75,2015-03-28,8:00 PM,@,Minnesota Wild,1,4,L,,37,24,14,L 1,,32,9,0,0,,20,11,1,0,
76,2015-03-30,8:30 PM,@,Chicago Blackhawks,1,4,L,,37,25,14,L 2,,32,4,0,0,,40,2,1,0,
77,2015-04-02,10:30 PM,,Edmonton Oilers,8,2,W,,38,25,14,W 1,,33,6,1,0,,30,2,1,0,
78,2015-04-04,10:00 PM,,Colorado Avalanche,3,1,W,,39,25,14,W 2,,26,2,0,0,,10,0,0,0,
79,2015-04-06,10:00 PM,@,Vancouver Canucks,1,2,L,SO,39,25,15,L 1,,37,6,0,0,,38,2,0,0,
80,2015-04-07,9:30 PM,@,Edmonton Oilers,2,4,L,,39,26,15,L 2,,27,9,2,0,,22,11,0,0,
81,2015-04-09,9:00 PM,@,Calgary Flames,1,3,L,,39,27,15,L 3,,34,2,0,0,,25,0,0,0,
82,2015-04-11,3:00 PM,,San Jose Sharks,4,1,W,,40,27,15,W 1,,36,8,0,0,,21,8,1,0,
