GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
66,2015-03-07,7:00 PM,,St. Louis Blues,1,6,L,,26,35,5,L 2,,24,29,0,0,,44,19,1,1,
67,2015-03-09,7:30 PM,,New York Islanders,3,4,L,OT,26,35,6,L 3,,25,10,0,0,,43,8,1,0,
68,2015-03-11,7:00 PM,,Buffalo Sabres,4,3,W,SO,27,35,6,W 1,,34,4,1,0,,33,10,0,0,
69,2015-03-13,8:00 PM,@,Calgary Flames,3,6,L,,27,36,6,L 1,,28,11,1,0,,28,28,1,2,
70,2015-03-14,7:00 PM,@,Vancouver Canucks,1,4,L,,27,37,6,L 2,,29,8,0,0,,35,36,0,0,
71,2015-03-16,9:30 PM,@,Edmonton Oilers,1,4,L,,27,38,6,L 3,,29,32,1,0,,32,8,2,0,
72,2015-03-19,7:30 PM,,San Jose Sharks,1,4,L,,27,39,6,L 4,,28,12,0,0,,42,4,1,0,
73,2015-03-21,7:00 PM,@,Ottawa Senators,3,5,L,,27,40,6,L 5,,25,20,0,0,,41,12,1,0,
74,2015-03-23,7:30 PM,,Minnesota Wild,1,2,L,,27,41,6,L 6,,36,11,0,0,,32,13,0,0,
75,2015-03-26,7:30 PM,,Florida Panthers,1,4,L,,27,42,6,L 7,,25,16,0,0,,28,10,0,0,
76,2015-03-28,7:00 PM,,Ottawa Senators,4,3,W,OT,28,42,6,W 1,,31,7,1,0,,25,11,1,0,
77,2015-03-31,7:30 PM,,Tampa Bay Lightning,3,1,W,,29,42,6,W 2,,28,11,1,0,,41,11,1,0,
78,2015-04-01,7:30 PM,@,Buffalo Sabres,3,4,L,,29,43,6,L 1,,27,10,0,0,,31,8,1,0,
79,2015-04-04,7:00 PM,@,Boston Bruins,1,2,L,SO,29,43,7,L 2,,28,6,0,0,,50,4,0,0,
80,2015-04-05,7:30 PM,,Ottawa Senators,3,2,W,SO,30,43,7,W 1,,38,12,0,0,,45,6,2,0,
81,2015-04-08,7:30 PM,@,Columbus Blue Jackets,0,5,L,,30,44,7,L 1,,35,4,0,0,,33,6,1,0,
82,2015-04-11,7:00 PM,,Montreal Canadiens,3,4,L,SO,30,44,8,L 2,,22,10,0,0,,33,34,0,0,
