GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
50,2014-01-20,1:00 PM,@,New York Islanders,3,4,L,SO,25,19,6,L 1,,29,24,0,1,,43,18,2,0,
51,2014-01-21,7:00 PM,,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,Postponed due to snowstorm until 2014-01-22
52,2014-01-22,6:00 PM,,Carolina Hurricanes,2,3,L,,25,20,6,L 1,,24,6,1,0,,32,6,0,0,Make-up game for snowstorm 2014-01-21
53,2014-01-23,7:00 PM,@,Columbus Blue Jackets,2,5,L,,25,21,6,L 2,,28,12,1,0,,39,12,1,0,
54,2014-01-25,1:00 PM,,Boston Bruins,1,6,L,,25,22,6,L 3,,26,20,1,0,,33,14,3,0,
55,2014-01-28,7:00 PM,,Detroit Red Wings,5,0,W,,26,22,6,W 1,,28,12,1,0,,33,8,0,0,
56,2014-01-30,10:00 PM,@,Anaheim Ducks,3,5,L,,26,23,6,L 1,,30,7,1,0,,28,13,0,1,
57,2014-02-01,4:00 PM,@,Los Angeles Kings,2,0,W,,27,23,6,W 1,,13,6,1,0,,35,4,0,0,
58,2014-02-03,10:30 PM,@,San Jose Sharks,5,2,W,,28,23,6,W 2,,28,8,1,0,,22,4,1,0,
59,2014-02-06,7:00 PM,,Colorado Avalanche,3,1,W,,29,23,6,W 3,,35,8,1,0,,39,21,0,0,
60,2014-02-08,1:00 PM,,Calgary Flames,2,1,W,,30,23,6,W 4,,23,6,0,0,,33,6,0,0,
61,2014-02-27,7:00 PM,,San Jose Sharks,3,7,L,,30,24,6,L 1,,30,20,0,0,,29,10,1,1,
62,2014-03-01,1:00 PM,,New York Rangers,4,2,W,,31,24,6,W 1,,31,18,1,0,,35,20,1,0,
63,2014-03-02,12:30 PM,@,Washington Capitals,5,4,W,OT,32,24,6,W 2,,36,16,2,1,,29,15,0,0,
64,2014-03-05,8:00 PM,,Washington Capitals,6,4,W,,33,24,6,W 3,,30,32,1,0,,25,38,3,0,
65,2014-03-08,7:00 PM,@,Toronto Maple Leafs,3,4,L,OT,33,24,7,L 1,,31,11,0,0,,36,9,0,0,
66,2014-03-11,7:00 PM,,New Jersey Devils,1,2,L,,33,25,7,L 2,,31,6,0,0,,26,12,0,0,
67,2014-03-15,1:00 PM,,Pittsburgh Penguins,4,0,W,,34,25,7,W 1,,40,10,1,1,,25,8,0,0,
68,2014-03-16,12:30 PM,@,Pittsburgh Penguins,4,3,W,,35,25,7,W 2,,35,8,2,1,,23,6,0,0,
69,2014-03-18,7:30 PM,,Chicago Blackhawks,3,2,W,OT,36,25,7,W 3,,37,18,0,0,,25,20,0,0,
70,2014-03-20,7:00 PM,,Dallas Stars,4,2,W,,37,25,7,W 4,,29,6,1,0,,35,4,1,0,
71,2014-03-22,1:00 PM,,St. Louis Blues,4,1,W,,38,25,7,W 5,,19,20,1,0,,33,16,0,1,
72,2014-03-24,7:00 PM,,Los Angeles Kings,2,3,L,,38,26,7,L 1,,32,10,0,0,,41,10,0,0,
73,2014-03-26,8:00 PM,@,New York Rangers,1,3,L,,38,27,7,L 2,,31,10,0,0,,29,10,0,0,
74,2014-03-28,7:00 PM,,Toronto Maple Leafs,4,2,W,,39,27,7,W 1,,29,10,2,0,,34,14,0,0,
75,2014-03-30,12:30 PM,,Boston Bruins,3,4,L,SO,39,27,8,L 1,,52,9,0,0,,30,13,1,0,
76,2014-04-01,8:00 PM,@,St. Louis Blues,0,1,L,SO,39,27,9,L 2,,31,8,0,0,,28,6,0,0,
77,2014-04-03,7:00 PM,,Columbus Blue Jackets,0,2,L,,39,28,9,L 3,,37,8,0,0,,27,8,1,0,
78,2014-04-05,1:00 PM,@,Boston Bruins,2,5,L,,39,29,9,L 4,,26,7,1,0,,42,11,0,0,
79,2014-04-06,7:30 PM,,Buffalo Sabres,5,2,W,,40,29,9,W 1,,37,18,1,0,,19,8,1,0,
80,2014-04-08,7:30 PM,@,Florida Panthers,5,2,W,,41,29,9,W 2,,27,2,0,0,,40,6,0,0,
81,2014-04-10,7:30 PM,@,Tampa Bay Lightning,2,4,L,,41,30,9,L 1,,36,6,1,0,,30,6,1,0,
82,2014-04-12,3:00 PM,@,Pittsburgh Penguins,4,3,W,OT,42,30,9,W 1,,21,12,1,0,,36,8,0,0,
83,2014-04-13,3:00 PM,,Carolina Hurricanes,5,6,L,SO,42,30,10,L 1,,44,19,1,0,,38,6,1,0,
