GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
29,2013-12-10,8:30 PM,,Chicago Blackhawks,2,6,L,,14,10,5,L 1,,29,24,0,0,,33,22,1,0,
30,2013-12-12,8:00 PM,@,Nashville Predators,1,3,L,,14,11,5,L 2,,34,6,0,0,,30,6,2,0,
31,2013-12-14,3:00 PM,@,Winnipeg Jets,6,4,W,,15,11,5,W 1,,32,12,2,0,,38,23,1,0,
32,2013-12-16,9:00 PM,@,Colorado Avalanche,2,6,L,,15,12,5,L 1,,33,10,0,0,,48,10,0,0,
33,2013-12-17,8:30 PM,,Colorado Avalanche,3,2,W,,16,12,5,W 1,,28,19,1,0,,27,17,1,0,
34,2013-12-19,8:30 PM,,Vancouver Canucks,4,1,W,,17,12,5,W 2,,26,6,0,0,,28,18,0,0,
35,2013-12-21,10:30 PM,@,San Jose Sharks,2,3,L,SO,17,12,6,L 1,,46,6,0,0,,39,4,0,0,
36,2013-12-23,10:30 PM,@,Los Angeles Kings,5,2,W,,18,12,6,W 1,,23,9,1,0,,32,13,0,0,
37,2013-12-27,8:30 PM,,Nashville Predators,4,1,W,,19,12,6,W 2,,34,12,0,0,,34,10,0,0,
38,2013-12-29,6:00 PM,,St. Louis Blues,2,3,L,OT,19,12,7,L 1,,30,4,1,0,,22,10,2,0,
39,2013-12-31,8:00 PM,,Los Angeles Kings,3,2,W,,20,12,7,W 1,,32,6,2,0,,25,12,1,0,
40,2014-01-02,8:30 PM,,Montreal Canadiens,4,6,L,,20,13,7,L 1,,32,20,1,0,,28,18,1,0,
41,2014-01-04,8:00 PM,,Detroit Red Wings,1,5,L,,20,14,7,L 2,,45,8,0,1,,27,14,0,0,
42,2014-01-06,7:00 PM,@,New York Islanders,3,7,L,,20,15,7,L 3,,23,12,1,0,,43,8,3,0,
43,2014-01-09,7:00 PM,@,New Jersey Devils,0,1,L,,20,16,7,L 4,,26,4,0,0,,34,6,0,0,
44,2014-01-10,7:00 PM,@,New York Rangers,2,3,L,,20,17,7,L 5,,26,4,0,0,,34,4,1,0,
45,2014-01-12,6:00 PM,,New York Islanders,2,4,L,,20,18,7,L 6,,31,4,0,0,,31,4,0,0,
46,2014-01-14,8:30 PM,,Edmonton Oilers,5,2,W,,21,18,7,W 1,,30,9,1,0,,33,7,1,0,
47,2014-01-16,8:30 PM,,Boston Bruins,2,4,L,,21,19,7,L 1,,34,12,1,0,,41,14,1,0,
48,2014-01-18,9:00 PM,@,Minnesota Wild,2,3,L,OT,21,19,8,L 2,,35,8,1,0,,19,8,0,0,
49,2014-01-20,8:00 PM,@,Nashville Predators,1,4,L,,21,20,8,L 3,,36,9,1,0,,23,9,0,0,
50,2014-01-21,8:00 PM,,Minnesota Wild,4,0,W,,22,20,8,W 1,,36,15,2,0,,18,21,0,0,
51,2014-01-23,8:00 PM,,Toronto Maple Leafs,7,1,W,,23,20,8,W 2,,28,22,1,1,,25,30,0,0,
52,2014-01-25,8:00 PM,,Pittsburgh Penguins,3,0,W,,24,20,8,W 3,,28,10,2,0,,24,8,0,0,
53,2014-01-27,8:30 PM,,Colorado Avalanche,3,4,L,,24,21,8,L 1,,44,4,1,0,,21,8,1,0,
54,2014-01-30,8:30 PM,,New Jersey Devils,2,3,L,OT,24,21,9,L 2,,16,10,0,0,,24,10,2,0,
55,2014-02-01,10:00 PM,@,Anaheim Ducks,2,0,W,,25,21,9,W 1,,27,8,0,0,,26,8,0,0,
56,2014-02-04,9:00 PM,@,Phoenix Coyotes,3,1,W,,26,21,9,W 2,,40,4,1,0,,28,8,0,0,
57,2014-02-05,10:30 PM,@,San Jose Sharks,1,2,L,OT,26,21,10,L 1,,20,6,0,0,,21,2,0,0,
58,2014-02-08,8:00 PM,,Phoenix Coyotes,2,1,W,,27,21,10,W 1,,33,8,0,0,,27,10,1,0,
59,2014-02-27,8:30 PM,,Carolina Hurricanes,4,1,W,,28,21,10,W 2,,34,30,0,2,,30,33,0,0,
60,2014-03-01,3:00 PM,,Tampa Bay Lightning,2,4,L,,28,22,10,L 1,,41,6,0,0,,21,6,0,0,
61,2014-03-03,8:00 PM,,Buffalo Sabres,3,2,W,,29,22,10,W 1,,39,2,1,0,,23,10,0,0,
62,2014-03-04,7:00 PM,@,Columbus Blue Jackets,2,4,L,,29,23,10,L 1,,33,6,1,0,,20,8,1,0,
63,2014-03-06,8:30 PM,,Vancouver Canucks,6,1,W,,30,23,10,W 1,,22,12,2,0,,33,23,1,0,
64,2014-03-08,8:30 PM,,Minnesota Wild,4,3,W,,31,23,10,W 2,,38,8,2,0,,35,21,1,1,
65,2014-03-10,8:30 PM,,Columbus Blue Jackets,,,,,,,,,,,,,,,,,,,Game postponed until 2014-04-09 (Medical Emergency)
66,2014-03-11,8:00 PM,@,St. Louis Blues,3,2,W,OT,32,23,10,W 1,,30,8,1,0,,30,6,0,0,
67,2014-03-14,8:30 PM,,Calgary Flames,3,4,L,SO,32,23,11,L 1,,25,4,0,0,,30,2,1,0,
68,2014-03-16,8:00 PM,@,Winnipeg Jets,2,7,L,,32,24,11,L 2,,27,24,0,0,,34,4,1,0,
69,2014-03-18,7:00 PM,@,Pittsburgh Penguins,1,5,L,,32,25,11,L 3,,33,20,0,0,,32,10,0,1,
70,2014-03-20,7:00 PM,@,Philadelphia Flyers,2,4,L,,32,26,11,L 4,,35,4,1,0,,29,6,1,0,
71,2014-03-22,3:00 PM,,Ottawa Senators,3,1,W,,33,26,11,W 1,,44,28,0,0,,27,28,0,0,
72,2014-03-24,8:30 PM,,Winnipeg Jets,2,1,W,,34,26,11,W 2,,27,8,2,0,,33,8,1,0,
73,2014-03-25,8:00 PM,@,Chicago Blackhawks,2,4,L,,34,27,11,L 1,,27,11,0,0,,42,9,1,0,
74,2014-03-28,8:30 PM,,Nashville Predators,7,3,W,,35,27,11,W 1,,29,2,1,0,,28,2,0,0,
75,2014-03-29,8:00 PM,@,St. Louis Blues,4,2,W,,36,27,11,W 2,,27,22,0,0,,35,10,2,0,
76,2014-04-01,7:00 PM,@,Washington Capitals,5,0,W,,37,27,11,W 3,,36,10,0,1,,35,8,0,0,
77,2014-04-03,7:00 PM,@,Carolina Hurricanes,1,4,L,,37,28,11,L 1,,34,30,0,0,,32,6,2,0,
78,2014-04-05,7:00 PM,@,Tampa Bay Lightning,5,2,W,,38,28,11,W 1,,28,6,0,0,,29,18,0,0,
79,2014-04-06,5:00 PM,@,Florida Panthers,2,3,L,,38,29,11,L 1,,37,2,1,0,,24,12,0,0,
80,2014-04-08,8:30 PM,,Nashville Predators,3,2,W,SO,39,29,11,W 1,,30,2,0,0,,29,4,0,0,
81,2014-04-09,8:30 PM,,Columbus Blue Jackets,1,3,L,,39,30,11,L 1,,34,6,1,0,,25,8,1,0,Make-up game for postponed 2014-03-10 game
82,2014-04-11,8:30 PM,,St. Louis Blues,3,0,W,,40,30,11,W 1,,40,8,1,0,,22,14,0,0,
83,2014-04-13,9:00 PM,@,Phoenix Coyotes,1,2,L,,40,31,11,L 1,,17,18,1,0,,31,6,0,0,
