GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
63,2014-03-05,8:00 PM,@,Philadelphia Flyers,4,6,L,,29,24,10,L 2,,25,38,3,0,,30,32,1,0,
64,2014-03-06,7:00 PM,@,Boston Bruins,0,3,L,,29,25,10,L 3,,16,0,0,0,,43,0,0,0,
65,2014-03-08,7:00 PM,,Phoenix Coyotes,3,2,W,,30,25,10,W 1,,33,6,1,0,,33,4,1,0,
66,2014-03-10,7:00 PM,,Pittsburgh Penguins,2,3,L,,30,26,10,L 1,,33,6,1,0,,20,6,1,0,
67,2014-03-11,7:30 PM,@,Pittsburgh Penguins,0,2,L,,30,27,10,L 2,,32,2,0,0,,34,4,0,0,
68,2014-03-14,7:00 PM,,Vancouver Canucks,4,3,W,,31,27,10,W 1,,21,10,1,0,,41,8,0,0,
69,2014-03-16,3:00 PM,,Toronto Maple Leafs,4,2,W,,32,27,10,W 2,,33,6,2,0,,29,8,0,0,
70,2014-03-18,10:00 PM,@,Anaheim Ducks,3,2,W,,33,27,10,W 3,,30,10,2,0,,45,8,0,0,
71,2014-03-20,10:30 PM,@,Los Angeles Kings,1,2,L,SO,33,27,11,L 1,,22,11,0,0,,28,11,0,0,
72,2014-03-22,10:30 PM,@,San Jose Sharks,3,2,W,SO,34,27,11,W 1,,25,6,0,0,,36,6,0,0,
73,2014-03-25,7:00 PM,,Los Angeles Kings,4,5,L,SO,34,27,12,L 1,,27,8,2,1,,36,10,1,0,
74,2014-03-29,12:30 PM,,Boston Bruins,2,4,L,,34,28,12,L 2,,33,8,0,0,,36,6,2,0,
75,2014-03-30,8:00 PM,@,Nashville Predators,3,4,L,SO,34,28,13,L 3,,26,7,2,0,,29,13,0,0,
76,2014-04-01,7:00 PM,,Dallas Stars,0,5,L,,34,29,13,L 4,,35,8,0,0,,36,10,0,1,
77,2014-04-04,7:00 PM,@,New Jersey Devils,1,2,L,,34,30,13,L 5,,25,12,0,0,,31,6,0,0,
78,2014-04-05,5:00 PM,@,New York Islanders,4,3,W,SO,35,30,13,W 1,,29,13,0,0,,38,17,1,0,
79,2014-04-08,8:00 PM,@,St. Louis Blues,4,1,W,,36,30,13,W 2,,22,8,2,0,,29,10,0,0,
80,2014-04-10,7:00 PM,@,Carolina Hurricanes,5,2,W,,37,30,13,W 3,,21,2,0,0,,38,2,0,1,
81,2014-04-11,7:00 PM,,Chicago Blackhawks,4,0,W,,38,30,13,W 4,,27,4,1,0,,34,4,0,0,
82,2014-04-13,3:00 PM,,Tampa Bay Lightning,0,1,L,SO,38,30,14,L 1,,18,2,0,0,,32,2,0,0,
