GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
20,2014-11-22,7:00 PM,,Buffalo Sabres,1,2,L,,9,8,3,L 1,,44,7,1,0,,26,7,0,0,
21,2014-11-26,7:00 PM,@,New York Islanders,2,3,L,OT,9,8,4,L 2,,27,13,2,0,,35,11,2,0,
22,2014-11-28,5:00 PM,,New York Islanders,5,2,W,,10,8,4,W 1,,27,9,1,0,,28,9,0,0,
23,2014-11-29,7:00 PM,@,Toronto Maple Leafs,2,6,L,,10,9,4,L 1,,37,23,1,0,,23,21,3,0,
24,2014-12-02,7:00 PM,,Vancouver Canucks,3,4,L,,10,10,4,L 2,,25,10,0,0,,32,4,3,0,
25,2014-12-04,7:00 PM,@,Carolina Hurricanes,2,1,W,,11,10,4,W 1,,28,2,0,0,,30,6,0,0,
26,2014-12-06,7:00 PM,@,New Jersey Devils,4,1,W,,12,10,4,W 2,,29,8,1,0,,34,8,0,0,
27,2014-12-09,7:30 PM,@,Tampa Bay Lightning,5,3,W,,13,10,4,W 3,,35,8,1,0,,36,6,0,0,
28,2014-12-11,7:00 PM,,Columbus Blue Jackets,2,3,L,OT,13,10,5,L 1,,41,8,1,0,,23,12,1,0,
29,2014-12-13,7:00 PM,,Tampa Bay Lightning,4,2,W,,14,10,5,W 1,,28,15,0,0,,28,15,0,0,
30,2014-12-16,7:30 PM,@,Florida Panthers,1,2,L,SO,14,10,6,L 1,,24,4,1,0,,29,4,0,0,
31,2014-12-18,7:00 PM,@,Columbus Blue Jackets,5,4,W,OT,15,10,6,W 1,,36,27,0,0,,26,25,2,0,
32,2014-12-20,7:00 PM,@,New Jersey Devils,4,0,W,,16,10,6,W 2,,21,11,0,0,,21,9,0,0,
33,2014-12-22,7:00 PM,,Ottawa Senators,2,1,W,,17,10,6,W 3,,23,16,1,0,,39,18,0,0,
34,2014-12-23,7:00 PM,@,New York Rangers,2,4,L,,17,11,6,L 1,,32,12,1,0,,27,8,2,0,
35,2014-12-27,7:30 PM,@,Pittsburgh Penguins,3,0,W,,18,11,6,W 1,,34,8,0,0,,31,10,0,0,
36,2014-12-29,7:00 PM,@,New York Islanders,3,4,L,OT,18,11,7,L 1,,26,14,0,0,,39,8,2,1,
37,2015-01-01,1:00 PM,,Chicago Blackhawks,3,2,W,,19,11,7,W 1,,35,14,1,0,,35,10,1,0,
38,2015-01-04,3:00 PM,,Florida Panthers,4,3,W,,20,11,7,W 2,,26,12,1,0,,32,6,0,0,
39,2015-01-07,7:00 PM,@,Toronto Maple Leafs,6,2,W,,21,11,7,W 3,,26,6,0,1,,33,6,0,0,
40,2015-01-08,7:00 PM,@,Philadelphia Flyers,2,3,L,OT,21,11,8,L 1,,28,6,1,0,,33,4,1,0,
41,2015-01-10,7:00 PM,,Detroit Red Wings,3,1,W,,22,11,8,W 1,,17,4,1,0,,27,4,0,0,
42,2015-01-12,7:00 PM,,Colorado Avalanche,2,1,W,,23,11,8,W 2,,38,6,1,0,,32,8,1,0,
43,2015-01-14,8:00 PM,,Philadelphia Flyers,1,0,W,,24,11,8,W 3,,26,6,0,0,,21,4,0,0,
44,2015-01-16,8:00 PM,@,Nashville Predators,3,4,L,,24,12,8,L 1,,34,8,2,0,,30,6,1,0,
45,2015-01-17,8:00 PM,@,Dallas Stars,4,5,L,,24,13,8,L 2,,32,8,0,0,,26,6,1,0,
46,2015-01-20,7:00 PM,,Edmonton Oilers,4,5,L,SO,24,13,9,L 3,,24,12,1,0,,31,4,1,0,
47,2015-01-27,7:00 PM,@,Columbus Blue Jackets,3,4,L,,24,14,9,L 4,,28,10,0,0,,30,6,0,0,
48,2015-01-28,8:00 PM,,Pittsburgh Penguins,4,0,W,,25,14,9,W 1,,36,22,1,0,,27,32,0,0,
49,2015-01-31,1:00 PM,@,Montreal Canadiens,0,1,L,OT,25,14,10,L 1,,36,10,0,0,,30,14,0,0,
50,2015-02-01,1:00 PM,,St. Louis Blues,3,4,L,,25,15,10,L 2,,36,8,1,0,,40,21,1,0,
51,2015-02-03,7:00 PM,,Los Angeles Kings,4,0,W,,26,15,10,W 1,,27,4,1,0,,27,8,0,0,
52,2015-02-05,7:30 PM,@,Ottawa Senators,2,1,W,,27,15,10,W 2,,29,12,0,0,,26,6,0,0,
53,2015-02-06,7:00 PM,,Anaheim Ducks,3,2,W,SO,28,15,10,W 3,,34,4,0,0,,25,2,1,0,
54,2015-02-08,3:00 PM,,Philadelphia Flyers,1,3,L,,28,16,10,L 1,,14,9,1,0,,25,17,1,0,
55,2015-02-11,10:30 PM,@,San Jose Sharks,5,4,W,OT,29,16,10,W 1,,33,7,1,0,,30,9,1,0,
56,2015-02-14,10:00 PM,@,Los Angeles Kings,1,3,L,,29,17,10,L 1,,28,6,0,0,,30,4,0,0,
57,2015-02-15,8:00 PM,@,Anaheim Ducks,5,3,W,,30,17,10,W 1,,28,8,1,0,,33,10,0,0,
58,2015-02-17,7:00 PM,@,Pittsburgh Penguins,3,1,W,,31,17,10,W 2,,33,27,2,1,,33,41,0,0,
59,2015-02-19,7:00 PM,,Winnipeg Jets,5,1,W,,32,17,10,W 3,,33,6,3,1,,20,10,0,0,
60,2015-02-21,12:30 PM,,New York Islanders,3,2,W,SO,33,17,10,W 4,,27,7,0,0,,32,5,0,0,
61,2015-02-22,12:30 PM,@,Philadelphia Flyers,2,3,L,,33,18,10,L 1,,23,13,0,0,,28,15,2,0,
62,2015-02-25,8:00 PM,,Pittsburgh Penguins,3,4,L,,33,19,10,L 2,,24,18,1,0,,26,18,1,1,
63,2015-02-27,7:00 PM,@,Carolina Hurricanes,0,3,L,,33,20,10,L 3,,28,11,0,0,,38,9,0,0,
64,2015-03-01,7:00 PM,,Toronto Maple Leafs,4,0,W,,34,20,10,W 1,,32,12,1,0,,32,8,0,0,
65,2015-03-03,7:00 PM,@,Columbus Blue Jackets,5,3,W,,35,20,10,W 2,,33,40,1,0,,30,40,1,0,
66,2015-03-05,7:00 PM,,Minnesota Wild,1,2,L,,35,21,10,L 1,,25,4,1,0,,30,2,0,0,
67,2015-03-07,7:00 PM,,Buffalo Sabres,6,1,W,,36,21,10,W 1,,45,11,2,0,,17,11,0,0,
68,2015-03-11,8:00 PM,,New York Rangers,1,3,L,,36,22,10,L 1,,29,8,1,0,,31,8,0,0,
69,2015-03-13,7:00 PM,,Dallas Stars,2,4,L,,36,23,10,L 2,,20,12,0,0,,31,8,3,0,
70,2015-03-15,7:30 PM,,Boston Bruins,2,0,W,,37,23,10,W 1,,38,8,1,0,,32,2,0,0,
71,2015-03-16,7:00 PM,@,Buffalo Sabres,4,3,W,SO,38,23,10,W 2,,38,8,2,0,,33,6,1,0,
72,2015-03-19,8:00 PM,@,Minnesota Wild,3,2,W,,39,23,10,W 3,,27,10,0,0,,30,12,1,0,
73,2015-03-21,7:00 PM,@,Winnipeg Jets,0,3,L,,39,24,10,L 1,,28,8,0,0,,24,8,0,1,
74,2015-03-26,7:00 PM,,New Jersey Devils,3,2,W,OT,40,24,10,W 1,,24,8,0,0,,31,8,0,1,
75,2015-03-28,12:30 PM,,Nashville Predators,3,4,L,,40,25,10,L 1,,28,10,0,1,,27,10,0,0,
76,2015-03-29,3:00 PM,@,New York Rangers,5,2,W,,41,25,10,W 1,,31,10,1,0,,25,6,0,0,
77,2015-03-31,7:00 PM,,Carolina Hurricanes,4,2,W,,42,25,10,W 2,,20,4,0,0,,25,0,0,0,
78,2015-04-02,7:30 PM,@,Montreal Canadiens,5,4,W,SO,43,25,10,W 3,,19,8,3,0,,27,8,1,0,
79,2015-04-04,7:00 PM,@,Ottawa Senators,3,4,L,OT,43,25,11,L 1,,32,13,0,0,,28,9,2,0,
80,2015-04-05,5:00 PM,@,Detroit Red Wings,2,1,W,,44,25,11,W 1,,28,10,1,0,,36,4,1,0,
81,2015-04-08,8:00 PM,,Boston Bruins,3,0,W,,45,25,11,W 2,,33,0,0,0,,27,6,0,0,
82,2015-04-11,12:30 PM,,New York Rangers,2,4,L,,45,26,11,L 1,,24,25,1,0,,34,9,1,0,
