GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
57,2017-02-18,2:00 PM,@,Detroit Red Wings,2,3,L,SO,39,11,7,L 1,,36,9,0,5,0,,23,15,1,2,0,20027,2:53,
58,2017-02-19,12:30 PM,@,New York Rangers,1,2,L,,39,12,7,L 2,,32,6,1,2,0,,30,6,0,2,0,18006,2:23,
59,2017-02-22,8:00 PM,@,Philadelphia Flyers,4,1,W,,40,12,7,W 1,,29,10,1,2,0,,34,10,0,2,0,19849,2:39,
60,2017-02-24,7:00 PM,,Edmonton Oilers,2,1,W,,41,12,7,W 2,,25,0,0,2,0,,31,4,0,0,0,18506,2:19,
61,2017-02-25,5:00 PM,@,Nashville Predators,2,5,L,,41,13,7,L 1,,26,17,0,1,0,,26,11,2,4,0,17150,2:37,
62,2017-02-28,7:00 PM,@,New York Rangers,4,1,W,,42,13,7,W 1,,38,13,1,2,0,,30,9,0,4,0,18006,2:43,
63,2017-03-02,7:00 PM,,New Jersey Devils,1,0,W,,43,13,7,W 2,,24,13,1,5,0,,15,15,0,4,0,18506,2:27,
64,2017-03-04,7:30 PM,,Philadelphia Flyers,2,1,W,OT,44,13,7,W 3,,24,14,1,4,0,,31,10,0,6,0,18506,2:33,
65,2017-03-06,7:30 PM,,Dallas Stars,2,4,L,,44,14,7,L 1,,44,4,0,4,0,,22,8,0,2,0,18506,2:31,
66,2017-03-09,10:30 PM,@,San Jose Sharks,2,4,L,,44,15,7,L 2,,27,10,0,5,0,,24,10,2,5,0,17562,2:25,
67,2017-03-11,10:30 PM,@,Los Angeles Kings,2,4,L,,44,16,7,L 3,,19,12,1,3,0,,22,6,2,6,0,18230,2:34,
68,2017-03-12,9:30 PM,@,Anaheim Ducks,2,5,L,,44,17,7,L 4,,27,22,1,5,0,,32,10,1,6,0,17174,2:41,
69,2017-03-14,7:00 PM,,Minnesota Wild,4,2,W,,45,17,7,W 1,,40,29,1,5,0,,32,15,1,7,0,18506,2:35,
70,2017-03-16,7:00 PM,,Nashville Predators,1,2,L,OT,45,17,8,L 1,,23,9,0,1,0,,24,9,0,1,0,18506,2:24,
71,2017-03-18,7:00 PM,@,Tampa Bay Lightning,5,3,W,,46,17,8,W 1,,35,6,1,2,0,,29,6,1,1,0,19092,2:40,
72,2017-03-21,7:00 PM,,Calgary Flames,4,2,W,,47,17,8,W 2,,40,4,2,3,0,,31,8,0,1,0,18506,2:24,
73,2017-03-23,7:00 PM,,Columbus Blue Jackets,2,1,W,SO,48,17,8,W 3,,45,6,0,3,0,,30,8,0,2,0,18506,2:44,
74,2017-03-25,7:00 PM,,Arizona Coyotes,4,1,W,,49,17,8,W 4,,33,10,1,4,0,,29,10,0,4,0,18506,2:22,
75,2017-03-28,8:00 PM,@,Minnesota Wild,5,4,W,OT,50,17,8,W 5,,20,15,3,4,0,,30,13,0,5,0,19188,2:41,
76,2017-03-29,10:00 PM,@,Colorado Avalanche,5,3,W,,51,17,8,W 6,,35,6,2,3,0,,35,6,0,3,0,13820,2:23,
77,2017-03-31,10:00 PM,@,Arizona Coyotes,3,6,L,,51,18,8,L 1,,48,4,1,1,0,,25,2,2,2,0,14290,2:33,
78,2017-04-02,6:00 PM,@,Columbus Blue Jackets,3,2,W,,52,18,8,W 1,,30,10,0,2,0,,37,10,0,2,0,18247,2:35,
79,2017-04-04,7:30 PM,@,Toronto Maple Leafs,4,1,W,,53,18,8,W 2,,38,10,1,3,0,,28,8,1,4,0,19415,2:26,
80,2017-04-05,8:00 PM,,New York Rangers,2,0,W,,54,18,8,W 3,,25,4,1,3,0,,24,6,0,0,0,18506,2:24,
81,2017-04-08,3:00 PM,@,Boston Bruins,3,1,W,,55,18,8,W 4,,32,8,0,4,0,,22,10,0,2,0,17565,2:34,
82,2017-04-09,7:00 PM,,Florida Panthers,0,2,L,,55,19,8,L 1,,38,4,0,2,0,,21,6,1,1,1,18506,1:53,
